SOS_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,546,1016,1559,240,375,613,249,948,1194,319,1874,2198,854,4161,5011,1092,2723,3821,2534,2653,5186,2727,3317,6046,4038,4097,8135,5681,4335,10017,5098,4770,9874,5475,4131,9602,14005,8224,22228,12093,966,13063,12007,1948,13958,9787,574,10363,33621,3173,36798,6028,1089,7119,535,753,1289,116933,51123,168058
SOS82,0,0,0,0,0,0,0,0,3,0,4,4,0,10,6,0,0,0,0,5,4,9,0,7,4,8,8,4,3,6,3,0,4,6,0,6,16,6,18,16,0,16,12,0,17,19,0,19,60,0,62,9,0,9,4,0,4,173,32,203
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,6,0,0,0,0,0,3,5,0,4,5,5,15,4,0,7,3,0,5,10,0,13,16,0,14,11,0,13,7,0,7,30,0,33,6,0,13,4,0,4,106,33,138
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,3,8,0,3,8,0,3,3,0,9,9,0,15,16,0,3,3,9,0,7,5,7,13,15,11,24,10,20,27,18,10,31,16,18,32,34,19,54,33,0,33,40,0,40,20,0,17,57,0,61,37,0,37,3,0,8,291,126,416
SOS92,8,7,13,0,5,5,6,7,13,4,24,28,13,57,66,9,33,40,36,36,70,41,35,75,34,30,70,52,18,71,35,14,52,48,18,62,75,10,78,48,0,54,32,3,43,31,0,31,36,0,36,51,3,57,6,11,17,567,319,887
SOS93,0,4,4,0,4,4,0,3,3,5,0,7,5,11,18,8,8,19,7,7,11,10,12,21,12,8,23,11,5,15,7,3,6,5,0,4,18,0,18,15,0,15,7,0,6,8,0,8,10,0,7,13,0,13,20,6,21,155,73,227
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
