SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
3013,57,318,65,115,15,631,103,73,364,143,214,30,934,0,0,0,4,7,0,14,9,6,23,41,169,6,255,0,0,14,16,96,54,185,345,192,1317,728,3045,242,5861
3014,272,1284,386,654,39,3059,428,268,1843,923,1625,119,5207,4,0,26,21,93,7,149,24,15,90,112,833,19,1089,15,4,53,53,374,97,598,1295,830,5352,3191,11450,697,22817
3015,1582,5986,1850,2266,231,13941,3090,1476,9973,5085,6657,674,26960,114,63,560,418,833,59,2049,141,90,659,1039,3395,114,5438,270,70,1025,832,2107,625,4932,9082,5066,34631,22680,51438,3983,126887
3016,670,2677,788,1137,78,6554,1247,620,4006,1833,3016,220,10939,22,12,91,78,188,10,404,58,33,233,294,1361,50,2037,87,21,222,165,642,189,1326,3955,1984,12462,7136,19277,1164,45972
3017,616,2991,837,1391,93,7074,1316,866,5052,2063,3293,304,12892,39,14,158,116,272,19,619,76,38,282,390,1630,50,2469,64,14,205,215,912,249,1666,4166,2331,15289,8891,25647,1610,57936
3018,57,211,46,108,11,497,34,24,207,158,316,29,769,0,5,0,4,14,4,20,3,0,13,15,136,5,178,0,3,19,17,87,22,144,132,125,724,523,2118,148,3775
3019,115,429,104,153,17,977,89,74,357,204,283,38,1043,0,3,9,10,39,3,67,4,4,22,37,185,3,260,5,6,23,24,95,22,176,348,278,1427,918,3089,223,6285
4000,768,3677,1128,1708,133,8156,654,585,3291,2564,4250,393,11743,32,15,160,113,329,44,696,52,45,239,317,2448,91,3185,54,38,284,276,1117,459,2225,2878,2313,14886,11516,38183,3358,73129
4001,4889,22365,5902,7108,615,52673,13929,5988,38069,15295,21092,2245,96619,620,219,2319,1061,1884,168,6272,1037,462,3336,2844,11354,473,19512,1275,254,3135,1750,4580,1739,12738,56202,20923,151243,70065,150992,12702,462128
4002,98,461,122,225,16,1019,114,102,519,306,707,51,1799,0,0,14,9,34,0,53,8,10,25,44,353,7,444,4,7,26,19,145,40,236,328,298,1647,1099,4607,304,8277
4003,37,126,66,108,9,373,43,43,181,162,432,27,885,0,0,10,11,35,4,57,4,6,12,22,168,9,215,7,0,14,8,78,23,127,131,113,613,596,2370,172,3996
