UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL115017,0,10,9,0,12,5,0,9,0,40,0,15,0,0,0,5,0,4,0,32,42,174,115,64,142,162,50,122,4,883
UCL115018,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,11,46,58,27,67,48,7,23,9,287
UCL115019,9,7,4,3,8,9,0,0,0,51,8,7,9,0,13,6,0,3,16,61,262,317,253,160,298,298,66,189,29,1870
UCL115020,4,8,10,6,19,13,0,7,0,56,0,6,8,0,6,11,3,7,13,48,62,160,159,87,292,229,87,202,20,1294
UCL115021,0,0,0,0,0,3,0,0,0,10,0,0,0,0,3,3,4,7,0,27,20,64,55,42,87,85,42,95,12,500
UCL115022,3,12,6,5,6,8,3,3,0,38,0,4,4,4,7,7,0,6,0,35,70,214,154,129,255,236,73,119,9,1262
UCL115023,0,4,7,0,3,0,0,0,0,15,0,4,5,0,8,7,0,3,10,28,27,67,65,38,74,109,24,71,17,495
UCL115024,0,0,0,0,4,3,3,0,0,13,0,5,0,0,12,0,4,0,10,32,25,51,32,41,148,141,36,100,20,602
UCL115025,3,6,0,4,9,4,0,6,0,29,0,5,0,3,4,4,0,3,6,28,88,112,74,53,175,170,42,86,12,816
UCL115026,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,6,0,3,8,20,29,84,72,58,77,108,45,99,20,600
UCL115027,4,7,0,7,22,17,11,12,0,82,4,5,0,0,16,10,3,3,14,59,85,174,133,94,270,280,127,237,21,1425
UCL115028,0,9,6,3,10,4,0,7,0,35,4,10,4,3,9,11,0,0,7,43,58,197,141,99,192,210,49,99,19,1063
UCL115029,0,9,6,3,0,8,0,3,0,24,7,8,4,3,5,5,0,4,0,36,41,162,131,79,116,127,28,71,14,768
UCL115030,0,3,0,0,0,0,0,3,0,10,4,0,0,4,0,7,0,0,10,21,24,78,44,28,58,62,12,46,11,380
UCL115031,6,10,0,5,8,8,4,5,0,42,8,9,6,0,0,8,4,3,9,48,78,195,157,79,141,184,60,120,16,1035
UCL115032,6,0,6,0,6,3,0,0,0,28,4,6,0,0,3,10,0,3,0,40,121,162,114,60,129,190,47,87,8,913
UCL115033,0,21,9,5,21,18,8,22,0,107,0,4,0,4,12,14,8,7,11,59,102,234,222,136,466,528,176,324,25,2219
UCL115034,10,0,0,0,7,0,0,10,0,40,3,4,4,3,8,8,3,5,13,46,92,120,84,82,172,192,41,99,22,899
UCL115035,0,10,8,3,21,19,4,12,0,86,0,0,3,3,16,10,7,0,8,53,85,235,195,148,478,401,149,287,18,2002
UCL115036,4,3,10,0,4,7,0,4,0,34,0,3,4,0,6,7,0,0,9,39,73,224,127,109,229,225,71,132,20,1213
UCL115037,0,3,4,4,0,9,0,3,0,17,0,0,0,0,0,0,0,0,0,7,33,106,88,51,93,132,34,69,0,609
UCL115038,0,4,5,0,5,0,0,7,0,22,0,5,0,4,5,3,0,0,5,33,19,87,74,54,81,105,25,82,9,529
UCL115039,3,6,3,4,5,13,4,15,0,52,5,5,4,0,9,9,3,13,11,54,89,139,139,76,192,245,121,444,32,1486
UCL115040,0,12,4,3,10,10,0,11,0,54,6,0,3,3,8,3,0,0,0,32,48,128,102,58,145,169,57,79,5,799
UCL115041,0,5,3,7,3,17,0,6,0,45,3,13,9,11,10,10,5,4,8,69,35,121,107,93,146,200,68,165,24,955
UCL115042,0,0,4,3,4,10,0,0,0,22,0,0,6,0,4,4,0,4,10,29,26,87,80,66,192,142,37,95,11,747
UCL115043,0,0,0,0,10,9,0,0,0,21,4,4,0,3,6,0,0,3,5,35,24,134,101,79,169,113,37,90,22,767
UCL115044,5,6,0,4,5,8,0,3,0,24,3,12,6,3,10,9,0,0,13,47,38,95,73,87,156,161,46,90,24,768
UCL115045,5,0,0,0,5,0,0,3,0,16,0,3,4,0,0,4,0,3,3,16,28,61,41,45,88,62,24,33,10,392
UCL115046,0,0,8,0,7,4,0,8,0,23,6,7,8,8,6,7,0,3,3,33,33,103,115,83,174,151,31,80,9,784
UCL115047,0,3,3,4,14,11,0,0,0,47,0,0,0,0,4,10,3,0,4,23,40,131,101,54,177,175,41,94,12,825
UCL115048,0,7,6,5,7,9,4,7,0,38,4,10,3,3,7,5,0,4,5,51,106,219,172,135,249,253,70,139,25,1376
UCL115049,3,5,0,0,3,6,4,3,0,21,0,0,0,0,3,4,0,3,3,16,29,50,47,29,79,70,33,44,6,396
UCL115050,3,11,6,4,9,12,6,4,0,52,0,6,0,0,7,7,0,4,8,39,60,171,133,106,196,183,45,133,22,1055
UCL115051,0,3,3,0,10,5,0,0,0,25,0,3,9,5,6,6,0,3,7,30,22,130,112,65,123,128,29,52,29,690
UCL115052,0,3,5,5,3,4,0,3,0,26,4,5,0,4,0,3,4,0,3,21,40,95,85,45,114,138,56,104,7,686
UCL115053,0,0,0,0,3,4,0,5,0,21,3,3,0,0,0,4,0,0,7,17,17,72,54,42,59,45,13,46,7,357
UCL115054,12,0,5,0,0,0,5,4,0,27,3,3,0,5,6,8,0,0,4,26,60,66,63,42,107,101,31,64,18,547
UCL115055,0,9,12,4,10,15,0,4,0,54,4,9,0,4,9,0,6,5,4,31,43,142,109,93,169,147,34,87,19,848
UCL115056,7,8,3,4,12,8,0,8,0,56,3,8,13,5,9,9,3,7,14,67,70,192,180,88,214,150,46,147,40,1127
UCL115057,4,0,3,0,3,3,0,0,0,24,0,4,3,6,0,7,6,9,3,39,58,183,128,130,222,175,48,120,22,1098
UCL115058,3,6,4,0,3,0,0,0,0,20,0,3,4,0,0,4,0,4,3,17,52,108,82,41,81,76,25,27,5,506
UCL115059,0,0,0,4,3,3,7,4,0,22,5,5,0,0,0,8,4,0,12,33,26,122,62,58,113,111,48,95,23,665
UCL115060,0,9,14,5,9,18,4,5,0,65,5,4,4,5,13,6,4,4,19,68,48,137,119,94,346,341,154,248,45,1523
UCL115061,0,0,0,0,0,0,4,0,0,10,0,0,0,0,6,0,0,0,7,16,14,52,55,38,111,66,20,27,10,397
UCL115062,4,0,9,0,5,11,0,5,0,47,4,5,0,0,4,10,0,6,3,33,70,95,87,53,119,139,46,88,12,706
UCL115063,5,6,3,0,4,4,0,3,0,20,0,3,0,0,0,5,0,9,3,22,55,97,62,34,103,133,28,88,5,603
UCL115064,3,12,7,4,14,12,4,7,0,54,0,11,0,7,4,8,3,11,10,49,156,387,255,163,350,404,116,232,21,2083
UCL115065,0,3,0,4,5,10,0,7,0,40,0,7,5,4,10,8,0,3,12,45,53,128,88,82,166,168,33,111,22,856
UCL115066,18,13,14,0,14,18,4,16,4,93,9,4,3,0,4,12,0,8,13,56,145,196,140,84,256,261,74,141,43,1326
UCL115067,3,8,8,0,8,6,5,4,0,41,0,4,8,0,6,5,0,3,18,50,41,128,123,81,164,143,38,84,37,840
UCL115068,0,0,0,0,0,0,0,0,0,8,5,0,0,6,0,3,0,5,0,24,35,61,75,43,94,76,19,47,13,459
UCL115069,0,3,5,0,0,5,0,5,0,18,0,5,5,0,7,9,0,0,5,32,33,104,100,46,105,153,52,91,11,691
UCL115070,11,11,12,7,24,19,5,15,0,95,6,0,5,4,15,19,0,13,5,63,119,197,190,124,327,296,86,261,32,1632
UCL115071,0,7,0,0,9,7,0,3,0,42,0,10,0,5,7,3,0,3,8,31,43,119,85,59,153,148,61,156,21,835
UCL115072,0,4,0,0,4,8,0,0,0,24,0,7,0,0,0,0,0,0,9,21,41,126,105,76,135,125,28,88,11,730
UCL115073,0,7,6,5,6,4,0,3,0,28,0,5,4,8,3,7,0,7,3,34,49,127,105,73,169,128,54,87,13,813
UCL115074,0,5,6,4,6,4,0,0,0,26,5,3,3,4,3,0,5,6,10,32,35,111,85,63,206,139,34,85,19,775
UCL115075,0,0,0,0,0,4,0,0,0,11,0,3,0,0,3,0,0,3,0,16,17,61,48,33,60,64,13,35,10,336
UCL115076,0,7,5,0,3,11,0,4,0,29,0,5,0,0,3,6,0,9,5,36,27,83,72,63,129,131,36,93,19,656
UCL115077,0,3,3,3,3,6,0,4,0,27,4,6,0,3,7,8,0,0,8,32,50,162,118,76,155,120,35,88,18,829
UCL115078,0,3,0,0,4,0,0,0,0,11,3,6,3,0,7,3,4,0,4,34,35,79,63,39,87,72,21,41,19,455
UCL115079,0,3,0,0,4,9,0,10,4,36,6,9,3,3,9,7,4,6,14,60,38,140,86,88,167,171,44,174,30,931
UCL115080,0,10,10,9,18,18,6,3,0,68,0,0,8,3,9,9,0,10,25,67,66,137,127,106,245,228,82,134,35,1162
UCL115081,0,0,0,4,0,3,0,3,0,18,0,3,0,0,3,8,3,9,4,37,17,55,51,25,98,105,57,127,12,556
UCL115082,0,0,0,0,3,0,0,0,0,9,4,0,0,0,4,0,0,0,6,19,30,71,52,47,80,71,23,54,13,438
UCL115083,0,10,0,0,10,8,0,4,0,37,3,6,7,5,13,12,3,6,0,56,64,171,139,84,210,225,60,136,14,1111
UCL115084,0,8,6,0,0,4,0,0,0,10,7,3,0,0,9,5,0,4,4,23,22,96,71,36,69,73,19,56,8,451
UCL115085,5,0,0,0,5,3,4,3,0,19,0,3,0,0,0,0,0,0,0,10,59,98,67,44,98,113,32,72,5,585
UCL115086,3,7,4,0,7,0,0,10,0,46,0,11,7,9,6,6,0,0,12,58,63,245,234,146,276,225,94,180,23,1490
