UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL122051,6,49,36,12,0,98,0,104
UCL122052,0,29,46,16,4,101,5,102
UCL122053,12,58,46,17,0,136,4,136
UCL122054,0,42,63,12,8,135,6,139
UCL122055,3,61,87,16,7,177,0,182
UCL122056,0,20,56,17,23,106,0,106
UCL122057,0,20,38,23,15,93,0,93
UCL122058,3,75,79,32,11,207,4,206
UCL122059,0,61,79,19,15,174,0,174
UCL122060,4,40,61,25,12,137,7,142
UCL122061,13,17,7,3,0,42,23,61
UCL122062,5,31,40,22,9,105,3,110
UCL122063,5,37,45,21,8,123,3,124
UCL122064,19,58,35,8,4,126,3,131
UCL122065,5,74,58,19,5,159,3,165
UCL122066,0,27,69,17,20,133,0,133
UCL122067,0,81,72,18,7,182,7,190
UCL122068,11,23,15,10,4,58,3,61
UCL122069,7,52,51,18,3,135,0,137
UCL122070,4,44,68,24,21,159,4,163
UCL122071,0,56,58,13,7,138,0,134
UCL122072,7,41,36,9,7,94,0,97
UCL122073,6,66,30,19,3,126,0,132
UCL122074,4,51,45,16,10,123,5,132
UCL122075,0,28,40,10,16,91,0,90
UCL122076,0,22,30,20,10,76,0,81
UCL122077,3,53,51,18,4,131,7,138
UCL122078,11,63,37,11,5,128,4,130
UCL122079,0,32,61,12,4,108,0,104
UCL122080,0,29,54,36,22,140,4,142
UCL122081,5,24,39,19,10,97,4,100
UCL122082,4,37,22,8,6,75,62,132
UCL122083,0,9,48,15,23,98,0,98
UCL122084,6,16,25,12,6,61,0,66
UCL122085,3,46,38,15,4,108,7,115
UCL122086,29,67,44,11,5,155,4,164
UCL122087,0,28,34,8,4,75,0,74
UCL122088,5,27,24,14,11,77,3,81
UCL122089,6,47,60,32,23,164,4,163
UCL122090,4,46,82,33,9,173,0,176
UCL122091,14,60,32,17,7,126,5,128
UCL122092,0,24,48,24,24,120,0,122
UCL122093,16,75,35,10,4,148,5,152
UCL122094,8,53,55,12,12,139,0,139
UCL122095,0,26,32,12,7,83,0,88
UCL122096,0,31,43,14,9,99,4,100
