UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL122055,0,0,5,57,15,4,77,250,13,340
UCL122056,10,0,10,46,23,0,74,171,6,251
UCL122057,0,0,4,36,25,3,64,143,9,218
UCL122058,5,0,5,78,17,0,97,276,28,404
UCL122059,11,0,11,74,27,3,105,219,31,354
UCL122060,5,0,9,55,22,0,77,200,49,330
UCL122061,0,0,0,9,4,0,14,84,37,142
UCL122062,5,0,5,41,17,0,59,164,36,262
UCL122063,5,4,13,57,10,0,73,161,21,252
UCL122064,12,0,12,32,9,5,46,189,33,270
UCL122065,7,0,7,33,19,0,50,261,26,333
UCL122066,7,0,5,72,29,0,104,199,9,306
UCL122067,8,0,6,57,30,5,96,273,17,381
UCL122068,4,0,3,8,3,0,13,93,32,142
UCL122069,6,0,6,45,17,0,63,192,9,268
UCL122070,15,0,15,73,14,5,92,244,9,348
UCL122071,3,0,8,68,14,0,89,195,9,291
UCL122072,6,0,6,30,10,0,41,150,22,205
UCL122073,0,3,5,27,12,0,46,191,24,257
UCL122074,0,0,0,12,13,4,32,187,24,244
UCL122075,6,0,6,60,3,0,57,133,18,208
UCL122076,0,0,0,43,10,0,49,110,7,171
UCL122077,7,0,7,48,21,0,68,193,35,294
UCL122078,15,0,15,20,16,0,40,187,22,247
UCL122079,3,0,3,47,11,5,63,160,11,230
UCL122080,0,0,0,93,20,0,108,226,6,344
UCL122081,4,0,5,28,14,0,41,136,28,205
UCL122082,8,0,8,9,11,0,19,179,18,214
UCL122083,3,0,3,48,24,5,82,160,11,253
UCL122084,5,0,5,22,13,0,37,108,18,170
UCL122085,5,0,3,31,6,0,34,167,26,228
UCL122086,10,0,10,20,16,4,44,220,60,327
UCL122087,4,0,4,19,16,0,34,115,14,162
UCL122088,3,0,3,30,19,0,49,131,26,214
UCL122089,8,0,9,91,31,0,118,214,42,368
UCL122090,4,0,4,60,21,0,79,283,28,395
UCL122091,4,3,13,37,16,5,57,151,58,270
UCL122092,3,0,3,47,36,3,88,199,13,304
UCL122093,4,7,8,42,5,3,50,200,48,293
UCL122094,16,0,11,37,31,0,65,210,22,300
UCL122095,3,4,3,42,8,3,55,117,13,180
UCL122096,0,0,0,16,9,0,35,164,25,220
UCL122097,4,0,4,25,9,0,30,132,13,172
UCL122098,5,12,14,51,19,6,73,227,111,416
UCL122099,4,0,4,34,7,0,43,143,21,208
UCL122100,9,4,8,40,30,0,70,328,43,441
UCL122101,0,0,0,60,8,3,80,212,18,311
UCL122102,7,0,6,33,9,3,41,174,55,267
UCL122103,7,0,7,19,7,4,30,117,12,167
UCL122104,5,0,5,53,25,4,75,273,3,355
UCL122105,0,0,0,81,17,0,96,145,4,246
UCL122106,0,0,3,19,11,0,27,142,81,256
UCL122107,4,0,4,54,28,0,82,192,10,283
UCL122108,8,3,6,10,11,4,19,156,30,199
UCL122109,0,0,0,17,3,0,22,59,12,89
UCL122110,3,0,3,72,26,0,97,181,10,287
UCL122111,3,0,3,58,33,4,95,186,10,288
UCL122112,3,0,6,17,12,0,29,219,16,263
UCL122113,0,0,0,24,8,0,36,122,4,167
UCL122114,3,0,11,21,30,0,50,191,15,261
UCL122115,5,0,5,46,11,0,61,162,20,239
UCL122116,8,0,10,19,30,0,48,180,21,252
UCL122117,0,0,0,69,32,9,103,217,13,336
UCL122118,0,0,0,50,30,7,86,129,17,229
UCL122119,0,0,5,35,21,0,58,216,17,289
UCL122120,5,0,6,98,28,8,129,205,23,359
UCL122121,0,0,0,66,18,6,92,114,24,230
UCL122122,4,0,4,109,40,6,148,207,3,365
UCL122123,3,0,5,22,10,0,28,130,12,174
UCL122124,0,0,0,64,18,4,84,128,8,216
UCL122125,5,3,8,13,8,0,22,126,31,184
UCL122126,5,0,5,69,33,3,106,218,7,336
UCL122127,20,0,15,32,22,0,59,180,16,253
UCL122128,5,0,5,26,12,0,44,106,15,166
UCL122129,6,0,10,46,27,0,68,163,14,252
UCL122130,0,0,3,33,13,0,47,104,20,168
UCL122131,3,0,5,40,9,0,50,194,119,363
UCL122132,14,0,13,55,32,0,83,252,42,380
UCL122133,5,0,5,19,11,0,29,166,56,247
UCL122134,4,0,6,60,26,7,94,205,23,316
UCL122135,3,0,3,27,9,0,38,144,26,208
UCL122136,0,0,0,24,27,3,55,79,8,138
UCL122137,21,5,29,19,14,0,35,162,43,234
UCL122138,16,0,16,30,17,0,50,211,26,290
UCL122139,0,0,0,32,34,0,63,154,13,220
UCL122140,5,12,16,35,3,0,42,80,44,168
UCL122141,6,0,6,68,24,0,100,194,17,309
UCL122142,0,0,0,20,9,0,34,127,13,172
UCL122143,3,5,4,27,13,5,38,107,33,177
UCL122144,25,0,28,42,24,0,71,269,23,363
UCL122145,6,0,3,20,8,0,29,147,27,205
UCL122146,11,0,11,21,8,0,32,180,14,230
UCL122147,10,0,10,13,7,0,21,151,21,188
UCL122148,5,0,5,14,8,0,21,143,29,192
UCL122149,0,0,0,40,25,0,66,178,33,281
UCL122150,4,0,4,87,19,8,116,219,27,362
UCL122151,7,0,8,23,12,4,38,170,35,250
UCL122152,3,0,3,29,13,0,42,209,31,285
UCL122153,7,0,7,58,20,6,85,227,19,327
UCL122154,9,0,9,67,30,0,100,235,16,347
UCL122155,6,0,13,60,44,7,108,265,43,415
UCL122156,5,0,5,63,21,6,87,243,13,345
UCL122157,0,0,0,61,14,3,74,265,6,351
UCL122158,19,3,22,29,5,0,35,148,0,188
UCL131001,7016,1088,8221,84764,32353,3236,120360,309035,43557,472950
UCL179997,0,0,0,0,0,0,0,0,0,0
UCL199994,33,16,49,818,332,37,1191,5556,3362,10112
UCL201001,83769,10894,95489,782918,189670,16438,989023,2573738,200073,3762827
UCL203001,2346,435,2790,17142,5597,652,23393,57423,5032,85845
UCL203002,2354,405,2780,16361,5732,592,22682,54305,4759,81745
UCL203003,4083,467,4583,29567,9523,898,39991,100466,8063,148516
UCL211001,607,58,671,6292,2042,290,8628,20042,1667,30334
UCL211002,528,58,591,14521,3235,398,18149,34525,4276,56958
UCL212001,375,26,404,4038,1144,122,5304,11075,791,17165
UCL212002,390,111,512,1910,737,69,2723,7923,823,11469
UCL212003,878,134,1016,5007,1681,197,6887,19856,2435,29176
UCL212004,455,58,519,4123,1432,107,5664,11023,929,17618
UCL212005,1171,169,1352,7540,2253,245,10034,26684,3190,39909
UCL212006,599,42,644,7021,2162,204,9396,20074,1299,30766
UCL212007,337,80,414,4894,1245,139,6275,10743,890,17912
UCL212008,575,144,725,4427,1588,187,6203,14761,1565,22531
UCL212009,872,166,1045,5093,1961,204,7262,18250,1720,27240
UCL213001,386,155,543,1788,697,100,2582,7848,973,11408
UCL213002,274,195,465,1520,622,64,2210,5598,1272,9080
UCL213003,429,58,492,1732,717,83,2529,7160,575,10261
UCL213004,348,25,372,2507,853,116,3475,7676,598,11750
UCL213005,328,93,424,2522,984,126,3627,9180,554,13358
UCL213006,162,61,223,2378,531,84,2991,5101,297,8387
UCL213007,515,59,576,2488,965,126,3579,8908,788,13281
UCL213008,245,19,262,3078,802,98,3980,8079,428,12488
UCL213009,223,75,301,2160,664,72,2901,6697,436,10033
UCL213010,506,50,554,1914,845,94,2854,9338,1055,13251
UCL213011,392,80,467,1669,680,62,2414,7919,1283,11620
UCL213012,303,26,334,1346,543,40,1932,6281,583,8798
UCL213013,390,68,460,2143,761,87,2988,7789,775,11554
UCL213014,365,49,417,1599,599,63,2261,5888,652,8798
UCL213015,74,0,75,3121,631,90,3843,6683,578,11106
UCL213016,673,111,793,2877,1192,103,4177,11142,989,16309
UCL213017,507,51,563,3143,1020,126,4291,10515,809,15613
UCL213018,314,73,390,1116,431,39,1582,5151,502,7238
UCL214001,253,24,282,848,438,44,1327,4209,370,5910
UCL214002,100,12,114,1412,270,44,1730,2705,179,4611
UCL214003,427,75,505,1017,482,57,1554,6065,755,8379
UCL214004,210,19,237,649,236,27,908,3297,314,4522
UCL214005,21,3,27,142,68,3,211,578,56,839
