UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL115015,4,20,12,8,0,44,7,5,16,13,16,0,63,0,0,0,3,3,0,11,0,0,0,4,17,0,18,0,0,5,0,13,10,30,31,24,84,76,209,21,450
UCL115016,11,10,11,12,0,48,0,6,7,10,9,0,40,0,0,0,0,11,0,13,0,0,0,0,10,0,10,0,0,0,3,6,0,11,20,22,61,48,180,7,346
UCL115017,3,33,7,3,0,79,26,4,51,22,22,3,119,0,0,0,7,4,0,15,3,0,6,6,17,0,38,0,0,3,4,7,0,20,90,22,216,126,211,19,682
UCL115018,0,10,8,0,0,20,3,0,5,13,21,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,7,8,4,28,27,87,12,162
UCL115019,23,78,20,20,4,234,61,12,107,51,51,8,281,13,6,23,10,11,0,64,5,0,5,10,23,0,48,0,0,11,4,13,3,43,274,74,505,228,379,35,1489
UCL115020,14,33,9,27,0,90,7,7,32,37,65,8,159,3,0,0,0,8,0,13,0,0,4,6,29,0,40,0,0,0,3,15,0,17,25,23,107,103,498,22,788
UCL115021,7,13,4,12,0,36,0,0,8,13,4,0,31,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,0,0,6,0,15,13,9,51,33,164,12,280
UCL115022,19,78,24,31,0,173,16,12,53,31,71,10,196,0,0,4,0,6,0,6,0,0,4,4,20,0,26,0,0,3,5,13,4,21,51,36,214,156,408,36,895
UCL115023,0,25,0,8,0,50,7,0,11,12,22,0,50,0,0,0,0,0,0,0,0,0,0,0,6,0,11,5,0,0,0,6,3,12,15,6,72,47,164,21,322
UCL115024,3,43,5,15,3,80,0,0,25,11,24,5,68,0,0,3,0,0,0,4,0,0,0,0,9,0,5,4,0,5,4,6,6,11,26,12,108,79,137,22,378
UCL115025,12,31,12,11,0,99,10,6,27,19,27,0,89,0,0,0,0,0,0,7,0,0,0,0,20,0,27,0,0,4,3,8,0,20,54,21,134,102,265,20,588
UCL115026,13,17,8,11,0,55,4,9,14,5,14,0,41,4,0,7,4,0,0,14,0,0,0,0,6,0,12,4,3,0,4,5,0,11,53,33,118,58,153,7,415
UCL115027,11,42,15,20,0,85,6,13,41,33,42,3,130,0,0,0,0,3,0,3,0,0,0,9,54,0,64,0,0,4,0,14,5,27,20,25,152,146,587,20,956
UCL115028,19,68,15,13,0,133,24,22,73,27,47,0,190,0,0,6,0,9,0,16,0,0,3,8,22,0,30,3,0,7,6,10,7,32,75,50,263,118,280,16,805
UCL115029,0,34,8,6,0,56,15,6,40,12,13,0,93,4,0,6,0,3,0,8,0,0,0,4,10,0,17,0,0,9,0,7,0,22,56,16,196,83,177,16,543
UCL115030,3,13,5,10,0,30,0,0,5,6,16,0,31,0,0,0,0,3,0,3,0,0,0,0,8,0,7,0,0,0,0,3,5,4,4,7,23,33,117,15,199
UCL115031,10,35,11,10,0,86,21,11,51,23,30,5,140,3,0,6,0,0,0,10,5,0,7,8,18,5,38,8,0,5,0,8,8,26,91,43,207,111,279,29,761
UCL115032,6,33,12,17,0,101,25,3,36,21,27,0,115,0,0,3,8,3,6,18,0,0,4,0,13,0,23,6,0,4,5,9,0,28,104,31,207,120,242,13,717
UCL115033,7,68,25,24,4,157,17,19,55,24,37,5,154,6,0,5,6,6,0,19,4,0,12,10,47,0,79,0,0,6,7,17,3,33,225,82,381,341,555,40,1621
UCL115034,4,18,6,11,0,57,3,6,19,18,33,5,85,0,0,5,0,0,0,3,0,0,0,3,21,4,31,0,0,0,4,26,8,32,21,18,62,82,341,26,553
UCL115035,16,111,30,45,0,235,25,14,85,61,93,11,289,0,0,0,6,8,0,11,5,0,4,11,41,0,63,0,0,3,3,13,0,25,87,46,306,249,688,26,1399
UCL115036,14,29,14,19,0,93,11,16,57,35,47,3,170,0,0,3,0,0,0,8,0,0,4,6,19,0,32,0,0,0,4,13,6,22,59,44,187,148,400,22,864
UCL115037,16,33,7,9,0,79,11,4,30,18,16,0,82,3,0,0,0,0,0,9,0,0,0,3,7,0,16,0,0,0,0,3,0,9,47,31,121,82,169,7,458
UCL115038,3,15,3,7,0,32,3,0,33,17,28,0,83,0,0,0,0,0,0,0,0,0,4,5,14,0,17,0,0,0,0,9,0,12,12,6,74,41,173,15,326
UCL115039,0,52,13,10,0,99,8,0,34,10,22,0,75,0,0,0,0,0,0,0,0,0,5,4,29,0,46,0,0,0,0,21,3,26,36,17,182,110,519,45,909
