UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL121057,215,654,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,658,0,..,217,658
UCL121058,597,1782,3,3,0,0,3,3,0,4,0,0,0,0,0,0,0,7,4,9,0,5,0,0,0,0,0,0,0,5,4,4,609,1811,17,..,621,1811
UCL121059,236,567,0,3,4,10,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,578,44,..,284,578
UCL121060,320,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,948,10,..,339,948
UCL121061,171,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,541,15,..,189,541
UCL121062,327,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,880,13,..,339,880
UCL121063,204,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,98,170,0,0,0,0,99,172,0,0,306,597,146,..,452,597
UCL121064,276,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,279,586,123,..,397,586
UCL121065,376,866,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,866,33,..,407,866
UCL121066,171,450,0,14,0,0,0,14,8,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,182,474,14,..,195,474
UCL121067,341,718,6,8,0,0,6,8,7,18,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,4,0,4,3,3,363,750,52,..,418,750
UCL121068,765,1930,25,59,39,86,70,140,3,3,0,0,0,0,0,0,0,0,3,3,0,3,27,34,0,0,0,0,25,35,5,5,865,2117,400,..,1268,2117
UCL121069,216,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,225,762,3,..,227,762
UCL121070,195,493,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,4,0,4,0,0,201,500,47,..,250,500
UCL121071,198,495,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,203,510,35,..,238,510
UCL121072,276,703,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,284,710,29,..,317,710
UCL121073,282,580,14,20,0,0,19,21,0,6,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,3,3,3,9,304,614,59,..,363,614
UCL121074,252,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,527,46,..,297,527
UCL121075,207,469,37,60,0,0,37,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,531,9,..,256,531
UCL121076,334,964,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,334,971,33,..,371,971
UCL121077,242,632,11,16,0,0,11,16,9,6,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,3,3,3,3,0,6,263,666,26,..,292,666
UCL121078,227,649,5,10,0,0,5,10,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,234,664,10,..,240,664
UCL121079,190,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,514,4,..,195,514
UCL121080,320,832,27,70,10,24,39,95,6,4,0,0,0,0,0,0,0,0,4,4,8,22,10,19,0,0,0,0,26,42,0,0,386,974,36,..,421,974
UCL121081,176,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,176,557,14,..,188,557
UCL121082,368,884,11,19,48,91,62,115,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,433,1004,124,..,552,1004
UCL121083,419,885,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,422,898,141,..,570,898
UCL121084,245,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,248,822,15,..,259,822
UCL121085,335,894,3,9,42,86,48,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,993,127,..,507,993
UCL121086,349,713,4,10,0,0,4,10,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,6,0,0,5,13,17,4,3,374,747,75,..,447,747
UCL121087,242,626,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,630,14,..,262,630
UCL121088,219,549,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,3,0,0,224,551,12,..,236,551
UCL121089,331,851,0,0,0,7,5,5,5,11,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,341,875,63,..,408,875
UCL121090,255,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,262,821,8,..,269,821
UCL121091,239,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,667,10,..,250,667
UCL121092,366,1058,0,5,3,7,4,14,0,4,0,0,0,0,0,0,0,0,0,4,0,0,19,24,0,0,0,0,19,24,0,0,391,1097,9,..,408,1097
UCL121093,385,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,387,1134,16,..,412,1134
UCL121094,292,640,4,11,0,0,4,11,7,10,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,4,7,8,9,0,3,318,676,55,..,374,676
UCL121095,227,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,235,665,18,..,249,665
UCL121096,297,692,10,27,8,15,17,40,0,6,12,13,0,0,0,4,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,333,755,70,..,398,755
UCL121097,242,620,3,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,7,15,0,3,260,652,16,..,275,652
UCL121098,323,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,321,839,6,..,333,839
UCL121099,268,564,7,14,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,578,36,..,312,578
UCL121100,391,1070,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,392,1078,29,..,421,1078
