UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL113009,27,5,70,1541,2330,1153,839,1572,254,7700
UCL113010,186,49,340,1718,2516,1104,858,2304,597,9103
UCL113011,88,26,175,1511,2156,1001,803,2409,648,8527
UCL113012,253,136,575,2215,3621,1789,1210,2994,763,12595
UCL113013,146,17,252,1938,2890,1265,1014,3369,758,11233
UCL113014,177,15,291,2009,3146,1424,1100,2829,627,11139
UCL113015,163,36,315,1546,2396,1197,991,2497,641,9268
UCL113016,445,152,861,2342,3397,1760,1439,4566,1375,14876
UCL113017,206,59,498,2123,3439,1838,1242,2784,769,12191
UCL113018,36,19,80,310,523,284,200,509,200,2020
UCL114001,148,49,351,828,1231,657,437,976,243,4361
UCL114002,334,60,605,1113,1885,1111,832,1958,397,7298
UCL114003,206,78,419,1229,1864,859,681,2572,825,8032
UCL114004,135,23,240,1020,1449,642,453,1270,553,5382
UCL114005,144,25,248,750,1174,628,511,1425,331,4820
UCL114006,123,31,252,833,1178,597,431,1316,296,4660
UCL114007,197,31,346,1184,1621,815,660,1999,515,6791
UCL114008,145,31,272,950,1387,638,458,1392,572,5389
UCL114009,61,72,170,1257,1649,589,339,1093,313,5246
UCL114010,80,21,198,964,1384,679,530,1422,539,5523
UCL114011,100,58,216,640,1061,563,469,1090,493,4309
UCL114012,0,0,6,1021,1666,533,346,597,184,4350
UCL114013,157,33,281,1134,1581,728,581,1799,685,6508
UCL114014,23,5,55,1026,1576,749,536,848,120,4859
UCL114015,188,47,347,1239,1800,828,725,2390,786,7771
UCL114016,139,29,250,1055,1440,648,481,1749,507,5879
UCL114017,37,6,87,1354,1918,837,510,1011,323,5957
UCL114018,135,50,336,1342,2212,1111,665,1444,438,7214
UCL114019,62,37,140,744,1235,507,392,1582,1181,5644
UCL114020,70,23,183,1409,2107,1038,712,1535,372,7167
UCL114021,165,156,448,1526,2196,1042,712,1839,731,8047
UCL114022,224,33,376,882,1404,726,561,1666,521,5764
UCL114023,97,18,159,739,1153,535,353,1240,415,4434
UCL114024,174,30,315,1398,1953,957,720,2229,554,7808
UCL114025,96,38,193,994,1634,866,557,1141,328,5520
UCL114026,86,11,159,838,1288,573,480,1059,174,4401
UCL114027,138,33,291,891,1300,704,467,1266,286,4921
UCL114028,74,27,160,741,1095,466,373,1114,250,4042
UCL114029,19,5,41,814,1175,601,524,864,178,4146
UCL114030,122,25,234,692,1312,732,499,1204,321,4755
UCL114031,55,10,130,979,1398,757,585,1369,280,5371
UCL114032,28,10,71,759,1041,492,397,975,186,3846
UCL114033,125,18,199,893,1306,620,515,1530,377,5244
UCL114034,164,30,309,1141,1643,818,656,1734,403,6387
UCL114035,103,30,212,867,1191,603,411,1464,362,4893
UCL114036,166,27,294,932,1520,810,546,1313,413,5527
UCL114037,143,31,235,913,1387,605,402,1101,287,4691
UCL114038,189,32,318,1112,1441,714,593,1874,459,6200
UCL115001,21,5,36,260,396,194,145,432,90,1520
UCL115002,19,3,49,643,1032,501,385,721,179,3469
UCL115003,12,0,18,395,602,257,249,468,87,2050
UCL115004,22,10,51,277,448,219,139,400,96,1573
UCL115005,19,12,35,117,201,99,79,236,134,871
UCL115006,42,5,58,327,558,244,172,280,140,1717
UCL115007,32,7,67,488,751,376,307,598,126,2648
UCL115008,54,14,99,168,234,124,108,294,78,1004
UCL115009,16,3,42,274,400,201,162,328,108,1475
UCL115010,32,8,53,107,221,109,98,291,78,904
UCL115011,40,0,57,211,349,184,141,353,81,1322
UCL115012,26,0,42,131,216,88,81,273,70,856
UCL115013,53,72,189,638,906,471,341,841,340,3543
UCL115014,25,27,85,462,814,393,239,406,227,2543
UCL115015,28,10,72,260,448,257,179,263,151,1562
UCL115016,18,0,27,148,278,106,73,180,80,866
UCL115017,87,63,225,346,644,331,235,372,181,2116
UCL115018,48,4,81,137,157,119,130,314,71,923
UCL115019,36,14,107,704,1271,675,401,603,208,3865
UCL115020,46,4,86,434,635,315,232,659,104,2382
UCL115021,32,0,46,172,239,122,94,237,79,942
UCL115022,22,3,65,503,727,382,220,499,84,2415
UCL115023,33,7,57,198,261,123,107,313,163,1164
UCL115024,15,3,26,161,242,101,66,380,225,1175
UCL115025,7,0,9,236,375,179,123,209,50,1170
UCL115026,31,3,46,200,388,179,95,191,117,1170
UCL115027,10,9,34,421,609,304,219,532,114,2199
UCL115028,67,10,135,421,694,345,188,361,117,2120
UCL115029,17,6,42,296,427,215,123,290,115,1464
UCL115030,40,3,60,153,229,118,136,284,67,999
UCL115031,58,22,126,393,733,448,280,383,109,2345
UCL115032,12,4,41,302,548,322,236,245,76,1738
UCL115033,12,0,31,698,1061,439,224,434,119,2979
UCL115034,3,0,0,271,372,156,150,324,65,1342
