UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL221018,0,0,3,4,0,0,14,0,0,7,0,0,4,0,0,10,8,11,8,7,13,8,3,0,68,0,5,3,10,17,17,10,0,62,9,16,10,30,38,30,11,4,153,3,0,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,9,14,18,10,39,42,39,11,4,169,0,0,0,0,0,0,0,0,0,11,10,8,15,23,23,23,26,151,24,44,39,77,102,95,48,35,476
UCL221019,8,12,9,7,5,0,44,0,4,0,5,4,3,4,0,24,5,12,12,23,27,15,4,0,98,7,3,12,11,21,8,4,0,68,3,23,15,18,33,18,6,0,127,0,0,8,0,3,0,0,0,20,0,0,3,0,7,0,0,0,20,9,28,24,24,38,27,9,0,169,0,0,0,0,0,0,0,0,0,9,6,0,12,12,7,3,5,56,16,58,66,92,102,83,32,8,450
UCL221020,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,5,3,3,6,11,6,3,4,0,45,5,5,7,8,19,13,3,0,54,16,13,21,18,36,26,11,5,146,0,6,3,0,6,0,0,0,10,0,0,0,0,0,0,0,0,8,16,20,30,23,42,28,15,6,167,0,0,0,0,0,0,0,0,0,3,3,8,15,11,17,12,13,86,23,33,49,57,88,66,38,20,372
UCL221021,5,0,0,3,0,0,10,0,0,0,4,3,0,0,0,13,0,13,8,4,10,4,0,0,46,5,11,15,13,9,5,5,0,53,8,47,40,24,27,17,3,5,167,3,4,3,0,3,0,0,0,14,0,0,0,0,3,0,3,0,9,10,49,44,26,32,20,7,5,187,0,0,0,0,0,0,0,0,0,9,4,7,9,9,12,3,0,60,25,89,77,54,63,46,11,5,370
UCL221022,0,0,0,12,0,0,14,0,0,5,5,0,0,0,0,12,0,18,20,17,3,11,0,0,69,0,3,8,10,8,15,7,0,56,3,14,15,16,22,10,0,0,77,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,3,4,14,15,17,20,13,0,0,86,0,0,0,0,0,0,0,0,0,3,0,4,5,3,13,6,5,40,8,41,41,55,41,66,19,9,281
UCL221023,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,6,8,8,3,0,33,0,4,7,15,11,11,3,0,48,10,13,12,22,29,15,10,0,105,0,3,0,0,0,3,5,0,14,0,0,0,0,3,3,3,0,12,10,15,12,25,35,22,16,3,135,0,0,0,0,0,0,0,0,0,8,4,6,7,12,19,20,5,68,12,25,29,52,64,61,46,7,288
UCL221024,4,8,5,4,0,0,32,0,0,3,4,9,4,0,0,29,5,12,8,18,28,18,7,5,95,0,0,4,13,23,27,9,4,87,16,18,17,41,51,40,19,4,215,4,0,0,0,3,0,0,0,10,0,0,4,0,0,7,0,0,17,19,27,21,46,61,46,21,3,241,0,0,0,0,0,0,0,0,0,0,3,0,8,15,20,17,11,75,27,46,45,99,140,127,58,16,558
UCL221025,5,4,5,0,0,0,16,0,5,0,0,0,0,0,0,13,4,8,9,5,15,0,4,4,57,0,7,5,4,5,11,3,4,51,3,15,13,19,18,18,8,0,102,0,0,0,0,0,4,0,0,7,0,0,0,0,3,0,4,0,12,3,14,16,20,27,22,11,0,118,0,0,0,0,0,0,0,0,3,3,0,9,10,10,23,13,12,73,10,46,49,51,59,61,35,18,319
UCL221026,0,0,0,0,0,0,7,0,0,6,4,0,0,0,0,13,6,7,11,0,5,4,0,4,37,0,3,8,9,13,8,0,3,48,11,17,25,24,39,23,11,3,153,0,0,3,0,5,0,0,0,14,0,0,0,4,0,4,0,0,5,9,21,21,32,43,28,11,3,171,0,0,0,0,0,0,0,0,8,3,4,7,0,11,14,14,18,73,13,45,51,53,77,61,30,27,355
UCL221027,5,0,3,0,0,0,14,0,0,3,13,3,0,0,0,19,0,9,5,15,8,8,4,0,44,0,5,0,3,8,0,0,0,24,7,30,16,21,28,10,9,0,123,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,8,11,29,18,21,28,18,9,0,135,0,0,0,0,0,0,0,0,0,8,11,13,17,18,10,26,8,101,19,56,44,61,59,42,46,6,341
UCL221028,3,14,16,26,14,0,78,0,0,0,0,7,14,3,0,27,0,8,20,30,38,63,32,8,201,4,4,3,4,16,29,26,3,88,0,0,8,4,24,12,4,0,57,0,0,0,0,0,0,0,0,4,0,0,0,0,5,6,0,0,15,4,0,14,5,29,11,6,4,75,0,0,0,0,0,0,0,0,3,8,4,11,8,20,19,19,9,98,18,16,46,63,133,162,111,19,575
UCL221029,4,0,0,0,0,0,6,0,0,3,3,5,0,0,0,15,4,8,10,12,7,6,0,0,51,3,14,11,13,10,5,0,0,47,13,42,33,34,36,8,4,0,174,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,12,14,44,33,39,38,10,7,0,182,0,0,0,0,0,0,0,0,6,3,10,3,8,8,9,3,0,48,25,73,60,70,69,22,19,5,345
UCL221030,0,0,0,5,0,0,4,0,0,0,0,0,3,0,0,3,0,8,0,9,16,9,0,0,33,0,0,5,8,17,5,0,0,36,0,7,12,14,37,26,14,0,99,0,0,0,3,0,0,0,0,7,0,0,0,0,0,6,0,0,11,0,7,12,16,35,26,14,0,119,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,15,0,48,4,15,22,45,78,60,24,0,246
UCL221031,6,3,9,0,0,0,19,0,0,4,7,0,3,0,0,18,4,10,22,10,9,3,0,0,60,0,6,18,17,8,4,8,0,59,7,25,25,19,22,13,0,0,117,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,13,26,28,19,27,13,9,0,131,0,0,0,0,0,0,0,0,0,7,0,7,9,3,4,0,6,31,22,51,86,60,53,22,13,6,316
UCL221032,6,11,3,3,0,0,23,0,0,3,0,0,0,3,0,10,0,5,16,11,9,15,5,0,53,0,3,11,11,6,3,6,0,53,4,17,18,16,16,9,8,0,92,4,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,7,6,17,21,23,22,8,8,0,104,0,0,0,0,0,0,0,0,0,9,8,5,4,10,0,6,3,43,15,34,66,53,47,37,30,0,282
UCL221033,0,4,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,12,5,4,10,0,0,0,31,0,6,3,0,5,7,5,0,27,4,19,4,8,22,14,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,11,15,17,15,0,0,77,0,0,0,0,0,0,0,0,3,3,6,4,4,5,11,7,4,44,7,39,21,23,42,35,13,8,198
UCL221034,4,3,4,0,0,0,10,0,0,6,5,0,0,0,0,18,3,8,19,12,7,0,0,0,56,3,4,24,16,12,5,0,0,64,15,25,49,44,25,13,5,0,169,3,0,5,0,0,0,0,0,3,0,0,3,0,5,0,0,0,7,21,25,55,48,21,9,0,0,186,0,0,0,3,0,0,0,0,3,5,5,9,4,0,7,0,0,22,33,36,114,95,45,30,5,0,360
UCL221035,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,11,3,10,6,10,5,5,0,0,36,0,0,0,11,9,8,3,0,40,6,20,20,26,21,19,7,0,118,0,0,7,3,0,0,0,0,8,0,0,0,0,5,0,0,0,8,6,19,24,29,25,21,7,5,132,0,0,0,0,0,0,0,0,3,4,5,8,10,12,9,16,27,89,22,36,42,61,60,50,30,26,320
UCL221036,5,6,10,0,0,0,21,0,4,4,7,12,4,0,0,30,0,17,22,23,20,9,0,0,97,0,8,17,14,9,9,0,0,66,10,32,25,26,27,16,0,0,140,5,0,4,0,4,8,0,0,15,0,0,3,0,3,0,0,0,8,16,32,31,29,35,22,3,0,162,0,0,0,0,0,0,0,0,3,4,0,5,8,14,7,5,0,43,26,70,80,84,91,51,17,0,424
UCL221037,3,6,0,0,0,0,7,0,0,0,3,0,3,0,0,10,0,20,5,10,4,9,3,0,52,0,3,8,10,5,7,5,0,44,14,21,17,20,23,18,9,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21,22,20,20,18,9,0,125,0,0,0,0,0,0,0,0,0,0,0,7,4,5,7,10,6,47,18,48,49,48,43,48,25,9,285
UCL221038,0,3,6,3,0,0,15,0,0,0,12,0,0,0,0,19,5,13,29,20,6,11,4,0,71,5,12,14,19,15,9,5,0,83,7,38,47,40,28,18,4,0,181,0,8,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,13,9,45,52,41,32,17,4,0,203,0,0,0,0,0,0,0,0,0,4,17,7,19,14,11,3,0,92,23,92,103,118,73,54,19,0,484
UCL221039,0,3,0,0,0,0,10,0,0,4,0,3,0,0,0,17,0,13,8,13,3,3,0,0,47,0,11,9,9,4,9,0,0,51,19,28,19,29,23,19,9,0,143,0,4,0,5,4,0,0,0,11,0,0,0,0,3,0,0,0,4,21,29,24,29,29,20,8,0,162,0,0,0,0,0,0,0,0,0,11,8,12,13,21,11,16,5,93,34,66,60,68,71,44,26,6,378
UCL221040,3,5,5,6,0,0,13,0,0,6,3,0,9,4,0,17,0,7,9,5,10,23,3,0,67,0,11,8,10,10,12,5,0,55,8,19,21,26,22,23,21,3,137,0,0,0,3,3,0,0,0,9,0,6,0,4,0,8,0,0,16,13,23,19,34,25,33,17,4,167,0,0,0,0,0,0,0,0,6,0,0,6,4,7,8,11,0,48,13,40,45,57,67,93,50,4,366
UCL221041,3,0,0,5,0,0,10,0,0,5,0,0,0,0,0,8,5,19,11,5,10,4,0,0,49,3,5,11,18,12,0,0,0,55,10,35,36,35,21,17,3,0,153,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,8,35,36,35,22,17,3,0,157,0,0,0,0,0,0,0,0,0,8,3,3,12,8,6,3,0,33,18,69,72,66,55,29,5,0,314
UCL221042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,3,0,10,3,0,33,3,4,3,0,11,5,4,4,39,10,16,19,15,18,10,0,0,88,0,0,0,0,3,0,0,0,11,0,0,0,3,0,0,5,0,5,10,16,27,18,23,12,3,0,102,0,0,0,0,0,0,0,0,0,5,11,8,7,16,6,0,0,61,16,40,50,36,49,32,14,4,241
UCL221043,0,0,7,6,3,0,22,0,0,0,5,6,0,0,0,14,0,6,4,9,14,15,4,0,49,0,3,3,15,12,29,5,0,69,3,7,14,35,75,58,24,3,211,0,0,0,6,4,3,0,0,14,0,0,0,5,6,8,5,0,26,7,10,15,47,80,66,24,3,257,0,0,0,0,0,0,0,0,9,3,0,3,10,21,42,25,0,117,7,14,25,91,146,164,66,10,520
UCL221044,9,7,13,10,10,4,46,0,3,10,8,7,10,0,0,42,0,16,12,16,32,34,11,5,126,0,3,7,14,24,37,21,0,102,7,21,29,30,46,38,24,4,194,0,0,0,0,4,3,0,0,8,0,6,0,0,3,7,3,0,23,12,21,29,36,52,51,24,4,229,0,0,0,0,0,0,0,3,8,3,3,3,11,29,32,17,6,107,17,48,72,86,161,169,78,23,658
UCL221045,23,11,5,10,0,0,54,0,0,4,14,9,3,0,0,33,0,13,25,18,20,18,5,0,95,0,4,8,11,11,7,3,0,47,9,25,19,28,24,17,10,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,7,10,23,23,28,32,16,9,3,147,0,0,0,0,0,0,0,0,0,4,8,9,6,9,8,4,4,43,20,54,85,84,88,66,21,5,425
UCL221046,4,0,0,0,0,0,17,0,6,5,3,3,3,0,0,25,6,65,27,17,8,3,0,0,123,0,32,44,13,7,10,0,0,102,11,130,87,27,30,16,0,0,303,0,4,7,0,0,0,0,0,13,0,6,0,0,0,0,0,0,7,19,138,87,27,30,16,0,0,327,0,0,0,0,0,0,0,0,3,8,12,19,3,3,9,6,0,53,31,260,191,64,54,43,11,0,647
UCL221047,0,0,0,3,0,0,12,0,0,0,0,3,3,0,0,7,3,12,19,18,9,11,3,0,73,0,3,20,11,10,8,0,0,53,14,17,35,38,24,12,0,0,143,0,0,0,4,0,0,0,0,8,0,0,4,0,0,0,0,0,6,19,17,37,37,31,12,0,0,159,0,0,0,0,0,0,0,0,0,4,4,3,3,6,15,0,4,38,28,43,78,75,60,54,11,8,353
UCL221048,5,7,6,0,0,0,15,0,0,0,5,5,0,0,0,4,5,14,11,6,6,9,4,0,44,0,5,6,6,12,12,0,0,40,9,26,21,13,5,7,3,5,88,3,0,0,0,0,3,0,0,7,0,6,0,0,0,0,0,0,7,11,29,24,12,9,10,9,7,103,0,0,0,4,0,0,0,0,5,4,0,9,5,7,3,10,3,43,17,46,53,44,37,33,26,8,260
UCL221049,11,6,3,0,0,0,21,0,0,3,9,4,0,0,0,16,0,21,36,20,16,9,0,0,104,0,5,19,12,15,10,5,0,71,5,12,31,31,20,4,3,4,116,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,7,8,16,37,33,19,6,3,4,123,0,0,0,0,0,0,0,0,3,4,0,7,0,3,10,0,0,18,19,48,110,78,62,35,10,3,361
UCL221050,0,0,0,0,0,0,5,0,0,0,8,0,5,0,0,7,3,11,6,4,11,11,6,0,49,0,4,7,10,12,13,8,0,59,7,28,17,30,34,32,10,0,148,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,26,17,35,34,33,7,0,163,0,0,0,0,0,0,0,0,0,4,5,6,11,6,15,13,8,68,16,54,45,65,64,73,28,9,356
UCL221051,4,0,3,0,0,0,9,0,4,0,3,4,4,0,0,9,0,12,10,13,9,3,0,0,47,3,3,3,13,17,12,9,0,56,10,17,15,28,28,14,3,4,111,3,3,0,0,0,5,0,0,9,0,0,0,0,3,0,0,0,6,12,17,18,26,33,21,3,4,132,0,0,0,0,0,4,0,0,4,11,4,0,9,4,12,9,3,67,27,46,40,58,65,58,23,8,322
UCL221052,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,10,7,8,7,0,0,0,29,0,8,3,4,7,3,0,0,28,6,23,18,24,33,11,0,0,123,0,0,3,0,0,0,0,0,9,0,5,0,0,0,0,0,0,3,8,28,26,23,34,11,0,0,129,0,0,0,0,0,0,0,0,0,4,0,3,7,23,3,0,0,36,14,45,35,42,65,26,0,0,237
UCL221053,5,3,0,3,3,0,14,0,3,0,0,6,5,0,0,15,0,3,9,11,15,19,6,0,69,0,7,7,12,11,15,11,0,67,0,16,13,15,33,55,17,7,159,3,0,0,0,0,4,0,0,11,0,0,0,5,0,6,0,0,10,3,19,15,25,33,63,17,7,180,0,0,0,0,0,3,0,0,3,0,0,0,3,16,18,13,0,60,12,28,40,55,86,125,51,3,398
UCL221054,4,6,6,6,0,0,22,0,0,5,8,3,3,3,0,29,4,8,20,21,9,24,4,0,84,0,6,8,9,16,16,7,0,62,7,21,11,19,23,16,3,0,100,0,0,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,5,7,18,10,20,29,21,3,0,108,0,0,0,0,0,0,0,0,4,5,3,3,4,9,13,3,0,45,16,39,54,59,76,86,24,3,357
UCL221055,7,0,3,0,0,0,15,0,0,0,4,5,0,0,0,19,0,17,31,24,10,6,0,0,85,5,5,19,16,11,7,0,0,50,6,12,34,24,18,3,0,0,106,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,10,12,39,22,19,8,0,0,118,0,0,0,0,0,3,0,0,4,4,0,5,9,0,0,4,0,30,21,36,103,83,47,21,14,4,319
UCL221056,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,6,6,0,0,0,0,0,11,0,6,0,8,3,3,0,0,18,0,15,17,13,25,6,10,0,95,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,4,0,18,17,19,26,6,5,0,107,0,0,0,0,0,0,0,0,0,9,10,10,10,12,6,7,0,72,13,41,29,37,45,23,11,3,210
UCL221057,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,12,8,4,9,11,8,3,0,0,38,0,11,16,7,14,0,0,0,54,10,34,45,37,28,18,8,0,180,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,9,17,31,50,37,30,19,6,0,197,0,0,0,0,0,0,0,0,0,7,8,16,5,5,12,6,0,61,30,65,87,64,61,38,13,8,362
UCL221058,0,6,3,0,0,0,13,0,5,6,0,0,3,0,0,16,0,5,17,4,9,10,4,0,55,0,9,8,8,5,3,4,0,43,11,17,20,26,21,9,3,0,112,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,6,12,17,26,27,21,8,3,0,120,0,0,0,0,0,0,0,0,0,7,4,5,9,0,3,4,0,28,21,40,65,58,43,40,11,4,274
UCL221059,11,3,0,3,4,0,16,0,4,7,4,4,8,3,0,26,0,6,29,23,6,0,4,0,77,0,7,17,17,6,9,0,5,67,10,35,28,26,28,14,11,0,146,0,3,0,0,3,0,0,0,7,0,3,0,4,3,4,0,0,14,10,40,27,32,35,18,14,0,161,0,0,0,0,0,0,0,0,0,5,0,3,8,8,12,4,0,42,15,66,93,86,66,52,28,3,401
UCL221060,3,0,0,6,3,0,19,0,0,0,4,5,7,4,0,21,0,4,3,9,13,28,8,0,58,0,9,0,9,9,30,13,0,77,0,4,7,7,25,43,18,6,121,0,4,0,0,3,0,0,0,6,0,0,0,0,4,12,3,0,18,0,10,7,7,36,55,21,9,140,0,0,0,0,0,0,3,0,9,0,6,0,3,6,10,20,0,49,3,15,22,34,72,141,77,15,373
UCL221061,4,7,12,10,0,0,33,0,3,4,0,7,13,0,0,35,0,5,11,5,25,22,9,0,81,0,7,5,9,19,27,3,0,75,4,9,18,20,30,42,11,3,129,0,0,0,0,5,0,0,0,8,0,3,0,0,0,4,0,0,13,4,7,18,20,31,48,13,3,147,0,0,0,0,0,0,4,0,3,0,5,10,3,9,22,8,0,58,7,29,53,55,110,141,42,3,437
UCL221062,0,3,5,0,4,0,6,0,0,3,5,0,0,0,0,8,0,6,4,7,3,10,7,0,36,0,10,13,11,13,9,4,0,64,8,16,15,21,38,22,11,0,130,0,5,0,4,3,0,0,0,13,0,5,0,5,9,3,0,0,21,5,21,15,27,46,22,8,3,154,0,0,0,0,0,0,0,0,3,4,12,17,15,25,33,15,14,135,12,49,48,73,92,73,47,24,406
UCL221063,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,4,0,8,6,5,6,0,0,0,32,0,5,0,7,4,6,0,0,27,16,16,15,11,17,20,0,0,88,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,4,16,15,18,9,19,19,4,0,99,0,0,0,0,0,0,0,0,0,9,10,0,10,15,11,6,5,57,25,43,30,31,46,42,10,8,229
UCL221064,3,5,4,0,0,0,11,0,0,0,0,0,0,0,0,7,5,10,11,6,0,3,0,0,39,3,20,19,8,7,3,0,0,63,13,50,49,34,21,8,5,0,181,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,8,18,49,48,35,26,13,4,0,193,0,0,0,0,0,0,0,0,0,4,3,5,16,5,0,0,0,30,23,91,91,67,44,21,4,0,343
UCL221065,0,12,15,20,9,0,54,0,0,0,3,0,10,4,0,17,0,16,18,18,29,21,13,8,118,0,0,4,5,13,7,3,0,36,5,3,9,12,12,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,18,12,11,0,0,54,0,0,0,0,0,0,0,0,6,0,3,0,0,3,6,7,3,30,7,29,34,50,74,71,40,10,315
UCL221066,4,0,0,0,4,0,7,0,3,3,4,0,0,0,0,15,4,11,10,3,5,9,0,0,34,7,5,4,17,15,8,0,0,50,21,33,31,21,30,21,8,0,166,4,3,4,0,0,0,0,0,14,0,3,0,0,0,4,0,0,10,21,37,37,23,27,29,8,0,184,0,0,0,0,0,0,0,0,0,13,7,4,7,7,12,4,0,55,41,59,62,62,62,50,12,0,348
UCL221067,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,6,0,4,0,0,0,21,0,11,8,6,6,0,0,0,29,11,22,17,23,15,16,0,0,104,0,7,5,0,0,0,0,0,9,0,0,0,0,3,4,0,0,7,17,31,23,19,19,18,0,0,122,0,0,0,0,0,0,0,0,0,0,11,3,10,4,3,0,0,41,23,54,39,42,29,23,5,0,216
UCL221068,4,0,0,0,0,0,10,0,0,6,3,0,0,0,0,12,0,6,12,5,5,6,0,0,30,0,10,13,11,7,3,4,0,53,6,17,31,18,16,7,0,0,98,0,0,3,0,0,0,0,0,5,0,0,0,0,3,6,0,0,4,11,18,33,13,18,14,0,0,106,0,0,0,0,0,0,0,0,0,3,3,8,3,8,6,0,0,42,11,49,72,38,45,33,9,0,256
UCL221069,13,4,10,8,0,0,37,0,8,6,7,9,7,0,0,35,8,28,26,30,27,5,11,0,129,4,13,13,18,22,7,3,4,78,8,24,39,28,31,29,7,0,166,0,0,0,0,0,0,0,0,5,0,6,0,8,7,5,0,0,17,11,28,39,39,33,27,4,5,192,0,0,0,0,0,5,0,0,0,11,0,14,13,14,8,8,0,69,34,77,103,108,124,70,23,6,548
UCL221070,0,0,3,0,0,0,10,0,7,7,3,6,3,0,0,21,0,15,16,10,14,13,3,0,69,4,9,8,11,15,10,8,0,68,15,36,24,41,50,22,15,4,199,3,0,0,0,0,4,0,0,13,0,0,0,0,4,0,0,0,12,14,42,31,42,53,30,13,4,226,0,0,0,0,0,0,0,0,5,7,12,11,3,4,16,16,31,100,32,78,66,71,95,69,49,40,497
UCL221071,0,0,0,4,0,0,5,0,0,0,0,5,0,0,0,9,0,8,12,7,14,11,0,0,53,0,7,10,8,13,15,0,3,61,19,23,22,27,29,10,5,3,127,0,5,0,3,0,0,4,0,14,0,0,0,4,5,4,0,0,11,16,29,22,30,33,11,8,3,151,0,0,0,0,0,0,0,0,3,11,4,11,7,5,16,10,9,77,35,56,49,56,63,57,26,16,367
UCL221072,0,0,0,3,0,0,8,0,6,6,0,0,0,0,0,8,0,7,3,3,11,0,0,0,25,0,6,3,4,9,3,0,0,31,12,34,28,15,29,15,0,0,123,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,13,33,24,15,29,14,0,0,137,0,0,0,0,0,0,0,0,0,3,4,6,3,9,14,0,0,44,22,65,47,26,52,37,0,0,254
UCL221073,0,3,0,5,0,0,10,0,5,6,0,3,0,0,0,15,6,9,16,16,5,12,0,0,59,0,5,8,9,12,4,0,0,47,7,16,17,31,15,9,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,8,21,22,31,16,11,0,0,110,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,3,0,18,19,42,52,70,41,29,4,0,254
UCL221074,8,6,19,10,5,0,62,0,0,0,3,7,13,0,0,24,0,13,25,25,28,34,16,0,142,0,3,14,13,22,24,13,0,99,0,13,12,19,25,19,15,0,104,3,0,0,0,0,0,0,0,10,0,0,3,4,3,3,0,0,14,6,14,17,18,26,27,15,0,119,0,0,0,0,0,4,0,0,4,4,7,6,3,12,13,20,24,92,8,42,59,78,121,125,70,28,542
UCL221075,3,8,4,13,0,0,35,0,0,7,0,10,5,6,0,27,0,12,25,11,32,31,20,0,124,0,9,10,16,29,21,12,0,91,4,8,18,22,29,34,15,5,127,0,0,0,3,4,3,0,0,12,0,0,0,0,3,5,0,0,13,4,10,18,23,38,38,13,5,150,0,0,0,0,0,0,0,0,9,3,0,3,13,16,13,10,6,64,8,34,67,73,126,126,52,12,500
UCL221076,8,11,11,8,5,0,39,0,3,8,8,11,3,0,0,28,0,15,23,22,26,40,4,0,127,0,3,8,8,18,22,9,0,73,8,14,17,29,45,33,10,0,161,0,0,0,0,3,0,0,0,4,0,0,0,5,3,3,3,0,12,9,15,19,34,53,37,16,0,182,0,0,0,0,0,0,0,0,3,6,12,3,6,21,19,19,3,86,11,49,63,86,141,127,51,10,543
UCL221077,3,0,4,3,0,0,11,0,0,0,0,6,10,0,0,16,0,7,7,4,17,14,10,0,52,0,0,5,8,19,15,9,4,60,14,12,22,22,27,19,9,3,129,0,0,0,0,3,0,0,0,7,0,3,0,0,3,4,3,0,15,19,20,20,26,38,24,17,3,156,0,0,0,3,0,0,0,5,9,8,3,6,11,21,10,10,20,88,26,29,38,50,94,82,41,28,387
UCL221078,0,3,0,0,0,0,6,0,0,5,0,0,0,0,0,3,0,14,5,7,6,3,0,0,42,0,11,11,3,8,9,0,0,41,10,27,26,29,20,18,0,0,121,0,6,0,4,0,0,0,0,10,0,0,5,0,0,0,0,0,3,12,29,28,35,25,18,0,0,144,0,0,0,0,0,0,0,0,0,3,4,9,6,9,4,4,0,28,14,57,52,50,41,32,14,0,262
UCL221079,0,0,0,0,0,0,3,0,0,0,6,5,0,0,0,9,0,0,3,5,7,10,5,0,34,0,0,0,11,12,16,0,0,45,0,6,14,15,29,16,8,0,93,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3,0,15,4,7,10,21,37,16,10,0,103,0,0,0,0,0,0,0,0,0,10,4,3,17,16,11,18,3,79,12,23,24,49,76,53,30,9,279
