UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL115123,..,116,116,187,10,199,71,0,69,93,0,93,46,0,46,12,0,12,403,126,531
UCL115124,..,295,295,561,42,602,262,11,271,265,0,265,114,0,114,45,0,45,1248,352,1599
UCL115125,..,522,522,554,40,590,144,0,144,133,0,139,49,0,49,21,0,21,894,561,1462
UCL115126,..,113,113,166,4,165,53,0,53,49,0,52,24,0,24,11,0,11,303,120,422
UCL115127,..,138,138,216,11,223,59,0,59,62,0,62,25,0,25,13,0,13,374,146,516
UCL115128,..,174,174,255,37,295,121,16,139,121,3,118,57,0,57,16,0,16,575,227,799
UCL115129,..,78,78,195,7,202,93,0,98,118,4,122,51,0,51,18,0,13,477,91,567
UCL115130,..,639,639,692,33,724,141,3,143,104,3,111,40,0,40,22,0,22,1002,675,1674
UCL115131,..,438,438,632,47,678,209,0,209,187,0,187,77,4,76,54,0,54,1165,492,1658
UCL115132,..,254,254,288,20,304,67,4,71,55,0,55,19,0,19,3,0,3,439,275,712
UCL115133,..,409,409,810,25,836,83,4,87,40,0,40,22,0,22,9,0,9,969,435,1405
UCL115134,..,627,627,585,20,605,185,0,185,159,0,161,64,0,64,52,0,52,1047,650,1694
UCL115135,..,518,518,449,28,482,127,4,135,86,0,86,37,0,37,28,0,28,722,553,1275
UCL115136,..,103,103,186,7,198,126,0,126,153,0,153,79,0,79,40,0,40,589,110,699
UCL115137,..,357,357,519,17,538,219,0,219,231,0,228,108,0,108,57,0,57,1142,373,1511
UCL115138,..,109,109,239,16,255,134,0,135,128,0,128,65,0,65,28,0,28,594,125,726
UCL115139,..,321,321,405,19,426,110,6,109,78,0,78,41,0,41,16,0,16,647,350,997
UCL115140,..,155,155,207,8,217,48,0,46,55,0,60,24,0,24,8,0,8,344,168,513
UCL115141,..,183,183,227,10,241,68,0,68,60,0,62,31,0,31,17,0,17,405,199,605
UCL115142,..,364,364,523,23,550,79,0,83,53,0,53,27,0,27,4,0,4,690,391,1083
UCL115143,..,327,327,358,26,384,116,0,116,85,0,85,48,0,48,30,0,30,635,345,988
UCL115144,..,412,412,435,52,479,129,3,138,96,0,96,46,0,46,14,0,14,717,466,1184
UCL115145,..,205,205,250,16,271,65,0,69,63,0,63,28,0,28,4,0,4,409,227,635
