UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL621005,38,27,13,0,222
UCL621006,88,32,5,0,369
UCL621007,71,58,8,4,342
UCL621008,37,19,17,3,261
UCL621009,45,65,30,15,319
UCL621010,49,47,26,9,250
UCL621011,34,35,10,0,268
UCL621012,81,84,29,0,494
UCL621013,50,36,27,0,279
UCL621014,79,55,14,7,329
UCL621015,89,107,81,18,561
UCL621016,100,56,25,4,419
UCL621017,46,86,46,15,288
UCL621018,58,58,23,7,225
UCL621019,88,88,47,7,351
UCL621020,81,43,22,3,347
UCL621021,73,53,18,0,484
UCL621022,104,97,54,19,525
UCL621023,90,56,20,3,358
UCL621024,80,71,27,4,339
UCL621025,65,77,29,11,380
UCL621026,62,38,14,0,238
UCL621027,82,109,51,9,370
UCL621028,58,36,20,10,333
UCL621029,67,48,16,0,317
UCL621030,74,85,40,29,350
UCL621031,43,43,29,8,261
UCL621032,76,44,10,4,312
UCL622001,41,44,13,0,149
UCL622002,32,37,14,0,141
UCL622003,31,10,12,6,158
UCL622004,22,14,4,0,98
UCL622005,44,31,21,4,194
UCL622006,21,22,11,0,120
UCL622007,57,64,18,6,225
UCL622008,39,32,4,0,144
UCL622009,45,39,16,0,212
UCL622010,26,61,41,54,257
UCL622011,26,16,7,0,125
UCL622012,36,31,12,0,174
UCL622013,75,38,18,0,263
UCL622014,21,27,10,0,145
UCL622015,47,62,28,9,251
UCL622016,16,22,17,3,151
UCL622017,23,20,3,3,89
UCL622018,46,32,20,4,172
UCL622019,65,54,14,0,230
UCL622020,22,8,9,0,179
UCL622021,30,40,13,5,119
UCL622022,58,50,15,0,273
UCL622023,64,50,27,10,240
UCL622024,52,45,20,0,181
UCL622025,15,14,7,0,89
UCL622026,27,28,11,3,115
UCL622027,46,51,16,0,169
UCL631001,11817,8470,2880,507,54307
UCL679997,0,0,0,0,14
UCL699994,137,108,14,3,760
UCL703001,8111,4574,1614,359,65938
UCL712001,1865,927,274,68,12754
UCL714001,382,195,52,11,3053
UCL715001,71,30,8,0,491
UCL715002,36,9,0,0,279
UCL715003,70,23,0,0,513
UCL715004,21,6,0,0,147
UCL715005,48,14,0,0,270
UCL715006,215,71,14,0,1802
UCL715007,206,82,21,0,1174
UCL715008,33,20,0,0,354
UCL715009,47,21,0,0,312
UCL721001,52,12,0,0,401
UCL721002,20,8,0,0,146
UCL721003,46,21,4,0,240
UCL721004,37,10,0,0,124
UCL721005,28,8,3,0,148
UCL721006,23,4,0,0,104
UCL721007,69,40,9,0,338
UCL721008,41,51,9,0,328
UCL721009,74,17,0,0,428
UCL721010,22,3,0,0,118
UCL721011,9,3,0,0,111
UCL721012,16,4,0,0,112
UCL721013,18,11,0,0,98
UCL721014,18,7,3,0,121
UCL721015,14,0,0,0,77
UCL721016,41,9,0,0,200
UCL721017,31,14,3,0,174
UCL721018,77,11,0,0,632
UCL722001,27,18,8,3,101
UCL722002,8,8,0,0,69
UCL722003,7,0,0,0,39
UCL722004,6,6,0,0,28
UCL722005,21,0,0,0,100
UCL722006,5,5,0,0,44
UCL722007,9,3,0,0,38
UCL722008,11,0,0,0,56
UCL722009,3,6,0,0,46
UCL722010,38,38,12,0,198
UCL722011,3,0,0,0,31
UCL722012,16,3,0,0,71
UCL722013,4,0,0,0,28
UCL722014,7,3,3,0,98
UCL722015,9,4,6,0,41
UCL722016,61,23,4,0,246
UCL722017,10,0,0,0,64
UCL722018,10,3,0,0,49
UCL722019,4,0,0,0,17
UCL722020,26,26,7,0,161
UCL722021,7,5,0,0,75
UCL722022,8,0,0,0,60
UCL722023,16,0,5,0,95
UCL722024,11,18,0,0,108
UCL722025,6,0,0,0,45
UCL722026,17,0,0,0,63
UCL722027,3,7,0,0,61
UCL722028,28,15,5,0,127
UCL722029,19,3,0,0,67
UCL722030,7,0,0,0,48
UCL722031,16,17,0,0,121
UCL722032,6,0,0,0,45
UCL722033,19,6,0,0,91
UCL722034,71,47,23,0,246
UCL722035,18,7,0,0,90
UCL722036,13,8,0,0,76
UCL722037,4,0,0,0,33
UCL722038,6,0,0,0,12
UCL722039,7,0,0,0,68
UCL722040,3,3,0,0,35
UCL731001,2706,1507,455,53,15841
UCL779997,12,0,0,0,71
UCL799994,441,228,30,0,2351
UCL802001,33940,24509,12047,3935,264186
UCL822001,33,34,16,4,170
UCL822002,24,10,0,0,166
UCL831001,60,36,4,0,375
UCL879997,0,0,0,0,0
UCL899994,64,24,8,4,368
UCL915001,109,68,4,0,710
UCL921001,230,170,77,18,953
UCL922001,28,16,11,0,157
UCL922002,12,4,7,0,73
UCL922003,25,9,4,0,90
UCL931001,70,69,38,11,623
UCL979997,0,0,0,0,0
UCL999994,3,0,0,0,11
