UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL114033,0,0,0,64,17,0,0,7,0,0,0,0,0,0,40,68,0,0,0,0,0,0,0,0,0,5,5,7,135,22,7,216,26,87,8,30,6,50,42,630
UCL114034,0,0,0,36,7,0,3,7,0,0,0,0,0,9,21,55,0,0,0,0,0,0,0,0,0,0,4,6,154,40,4,232,37,91,10,32,7,74,32,713
UCL114035,0,0,0,58,6,0,3,0,0,0,0,0,0,9,27,45,0,0,0,0,0,0,0,0,0,0,5,7,123,38,8,161,21,72,0,33,7,46,28,539
UCL114036,0,0,0,55,4,8,0,4,0,0,0,0,0,3,27,45,0,0,0,0,0,0,0,0,0,6,5,5,92,47,7,132,17,40,5,29,5,44,34,458
UCL114037,0,3,0,106,14,0,0,10,0,3,0,0,0,0,32,54,0,0,0,0,0,0,0,0,0,0,0,8,197,25,8,206,30,81,7,23,10,39,28,656
UCL114038,0,0,0,44,17,0,0,4,0,3,3,3,0,5,22,63,0,0,0,0,0,0,0,0,0,0,7,12,143,35,9,192,30,94,13,40,6,71,38,680
UCL115001,0,0,0,35,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,53,9,38,3,8,8,17,21,210
UCL115002,0,0,0,68,0,0,0,7,0,0,4,4,0,6,26,53,0,0,0,0,0,0,0,0,0,0,0,4,107,25,8,170,16,66,5,33,8,46,30,513
UCL115003,5,0,0,100,3,3,0,0,0,3,4,0,0,4,14,31,0,0,0,3,0,0,0,0,0,0,5,7,120,22,16,121,37,56,18,24,9,29,15,467
UCL115004,0,0,0,26,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,34,14,3,42,6,11,8,12,0,8,8,143
UCL115005,0,0,0,7,3,0,0,5,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,20,0,13,3,0,4,9,7,83
UCL115006,0,0,0,80,0,0,0,3,0,0,0,5,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,43,31,4,106,15,34,7,20,0,16,11,292
UCL115007,0,0,0,65,8,0,0,6,5,0,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,3,93,25,6,116,27,64,12,15,12,33,15,423
UCL115008,0,0,0,7,5,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,22,0,10,0,7,0,4,0,61
UCL115009,0,0,0,18,4,0,0,3,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,56,7,3,61,5,12,5,6,0,12,6,173
UCL115010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,7,0,0,0,12,0,46
UCL115011,0,0,0,9,5,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,28,13,4,48,9,20,5,10,0,14,8,151
UCL115012,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,18,0,7,0,5,3,13,0,73
UCL115013,0,0,0,14,0,0,4,7,0,4,0,0,4,3,13,30,0,0,0,0,0,0,0,0,0,0,0,6,69,22,7,110,18,41,8,29,11,34,20,362
UCL115014,0,0,0,25,3,0,0,5,0,0,0,0,0,0,16,29,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0,92,13,43,0,24,0,32,16,287
UCL115015,0,0,0,4,0,0,0,6,3,0,0,5,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,23,9,3,35,9,7,5,10,0,9,4,122
UCL115016,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,30,11,0,28,4,6,3,3,0,6,4,101
UCL115017,0,0,0,63,0,0,0,0,0,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,52,19,3,81,3,30,0,9,0,18,10,222
UCL115018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,0,0,0,4,0,13,3,50
UCL115019,0,0,0,57,0,0,0,0,0,6,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,58,34,10,88,28,47,15,38,5,30,11,364
UCL115020,0,0,0,27,0,0,0,5,0,0,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,3,70,9,5,98,17,49,5,16,6,30,19,310
