UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL315062,3,0,3,97,123,223,0,0,0,5,6,15,0,0,0,123,125,248,0,0,0,0,0,0,0,0,3,0,0,0,8,21,27,0,0,0,5,3,10,6,3,8,42,50,93,0,0,0,4,4,9,16,11,26,22,27,43,0,0,0,323,380,703,3,4,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,4,6,209,197,400,0,0,3,3,0,9,210,202,407,111,102,216,658,694,1349
UCL315063,5,5,15,144,167,310,0,0,0,14,27,43,0,0,0,123,148,271,0,0,0,0,0,0,0,4,0,0,0,0,10,9,20,0,0,0,0,4,9,3,0,7,28,27,58,0,0,0,0,0,8,45,50,95,13,28,40,0,0,0,388,463,855,3,3,9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,191,147,340,0,0,0,0,0,0,187,147,341,86,67,146,682,690,1371
UCL315064,0,4,4,85,92,183,0,0,0,10,7,13,0,0,0,104,111,219,0,0,0,0,4,3,0,6,6,0,0,0,6,9,13,0,0,0,0,3,5,3,8,8,14,11,24,0,0,0,0,4,3,47,52,102,13,11,22,3,8,4,287,319,602,3,4,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,326,328,656,3,4,7,0,0,0,327,336,660,145,135,278,763,794,1554
UCL315065,0,3,8,70,115,193,0,0,0,12,12,24,0,0,0,84,93,179,0,0,0,0,0,3,3,5,14,0,0,0,5,8,13,0,0,0,4,8,5,0,0,4,36,54,91,0,0,0,0,8,7,10,11,24,11,14,26,0,0,0,244,336,583,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,191,142,335,0,0,0,0,0,0,191,143,339,45,45,87,493,531,1021
UCL315066,13,18,26,166,192,356,0,0,0,24,17,36,0,0,0,174,196,363,0,0,0,4,3,7,0,8,6,0,4,8,11,14,25,0,0,0,5,4,9,13,12,33,27,33,61,0,0,0,0,5,4,41,65,110,43,54,99,0,0,0,511,609,1120,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,850,844,1687,3,3,5,4,12,15,853,859,1713,157,162,321,1545,1649,3191
UCL315067,4,16,20,175,156,332,0,0,0,7,10,20,0,0,0,171,179,354,5,3,3,5,3,5,5,4,11,0,4,0,7,9,8,0,0,0,10,6,16,3,6,12,22,24,45,0,0,0,3,5,4,40,59,95,28,26,60,0,4,3,488,500,986,0,3,3,0,0,0,0,0,0,0,0,0,5,3,3,5,3,3,5,6,12,552,515,1073,3,4,7,4,5,4,557,525,1083,97,91,193,1158,1139,2293
UCL315068,3,11,18,95,123,217,0,0,0,4,7,19,0,0,0,151,164,311,0,0,0,0,0,0,12,14,28,0,0,0,0,7,6,0,0,0,4,3,10,5,9,15,12,16,25,3,3,3,4,10,14,30,42,69,6,4,10,0,0,0,336,403,734,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,3,9,5,389,372,758,0,3,4,3,6,4,395,380,766,113,97,206,851,899,1744
UCL315069,3,7,13,160,163,327,0,0,0,10,10,22,0,0,0,180,208,389,0,0,0,3,0,6,10,16,28,0,0,3,6,0,10,0,0,0,0,5,3,8,16,26,35,54,85,9,10,18,3,0,0,64,82,149,21,19,39,0,0,0,513,592,1100,0,8,7,6,5,9,0,0,0,0,0,0,0,0,0,14,12,22,13,12,21,479,405,889,6,0,6,0,0,0,488,408,898,254,191,441,1275,1213,2487
UCL315070,8,8,15,137,129,266,0,0,0,11,8,27,0,0,0,137,141,276,0,0,0,0,0,0,0,0,3,0,0,0,6,10,18,0,0,0,0,0,6,8,10,22,14,18,29,0,0,0,0,3,3,42,37,76,16,18,35,0,0,0,383,376,762,6,3,10,3,0,3,0,0,0,0,0,0,0,0,0,5,5,10,6,5,7,377,318,703,0,3,8,0,0,0,383,324,712,199,135,330,989,853,1843
UCL315071,0,8,5,46,76,122,0,0,0,3,0,3,0,0,0,116,118,232,0,0,0,0,0,0,6,0,7,0,0,0,0,10,11,0,0,0,0,0,0,0,0,3,10,9,21,3,4,12,0,0,0,14,32,43,11,18,29,0,0,0,227,265,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,248,211,464,0,0,0,0,0,0,254,212,463,53,17,69,531,509,1042
UCL315072,12,13,25,73,68,138,0,0,0,11,22,32,0,0,0,36,39,80,0,0,0,0,0,0,6,5,13,0,4,6,3,5,6,0,0,0,6,4,18,5,9,15,0,7,9,0,0,0,0,0,0,32,34,74,7,21,25,11,9,14,201,226,425,52,55,110,23,8,26,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,169,141,306,0,0,0,0,0,0,175,139,308,92,73,165,547,516,1066
UCL315073,9,9,17,96,126,222,0,0,0,23,28,46,0,0,0,117,166,281,3,4,6,0,0,4,10,19,30,0,0,0,54,51,105,0,0,0,11,25,34,15,16,29,10,18,22,0,4,3,7,7,12,74,81,157,16,21,40,0,4,4,437,565,1003,5,6,3,4,3,3,0,0,4,0,0,0,6,4,11,6,12,15,10,14,28,349,332,681,0,4,5,0,0,0,351,338,690,115,108,220,932,1035,1966
UCL315074,11,5,26,203,256,462,0,0,0,32,36,67,0,0,0,227,281,506,3,5,6,3,0,3,13,7,22,15,14,29,19,21,36,0,0,0,16,9,27,11,14,20,38,50,83,4,4,3,9,5,16,73,103,180,46,59,106,5,13,17,713,875,1590,4,4,5,0,0,5,0,0,0,0,0,0,0,0,0,16,20,34,16,20,34,734,651,1388,0,0,0,0,9,10,736,665,1399,180,207,389,1663,1775,3438
UCL315075,8,11,22,65,75,137,0,0,0,3,4,11,0,0,0,91,68,163,0,0,0,0,0,6,0,0,0,0,0,0,4,5,5,0,0,0,3,0,3,0,0,5,12,3,23,0,0,0,0,0,0,18,20,37,8,15,24,0,0,0,214,199,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,6,3,8,295,290,583,0,3,3,3,0,3,299,293,592,91,68,158,609,577,1194
UCL315076,3,8,15,307,369,680,0,0,0,25,16,43,0,0,0,428,477,897,10,14,18,0,0,0,9,10,23,8,9,17,67,104,176,0,0,0,7,12,19,10,8,17,65,64,128,12,13,22,0,4,11,100,128,230,68,69,136,0,0,0,1116,1289,2410,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,8,9,19,8,9,19,822,712,1530,8,11,14,3,0,0,831,721,1555,178,142,321,2138,2180,4319
UCL315077,0,0,0,158,163,322,0,0,0,18,24,41,0,0,0,482,489,971,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,81,95,169,18,29,46,0,4,4,0,0,0,3,9,8,3,4,6,11,6,17,0,0,0,777,820,1599,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,154,182,338,6,3,8,0,0,0,157,186,347,71,83,152,1009,1092,2098
UCL315078,5,9,14,332,381,711,0,0,0,7,7,16,0,0,0,341,377,723,12,9,17,0,0,0,4,12,20,0,0,0,55,55,112,0,0,0,4,7,9,11,17,27,44,48,90,0,0,4,0,0,7,75,93,169,26,43,70,6,5,11,928,1063,1986,3,4,7,3,0,6,0,0,0,0,0,0,4,4,9,0,3,3,3,9,16,346,328,671,0,0,0,0,0,0,346,329,677,119,108,228,1414,1514,2933
UCL315079,5,5,14,91,106,204,0,0,0,4,7,7,0,0,0,99,107,204,0,3,3,7,3,13,4,10,15,0,0,0,7,5,8,0,0,0,3,4,5,8,10,9,11,6,20,3,4,4,8,8,13,35,54,84,19,17,40,0,0,0,296,347,636,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,3,11,440,461,900,10,5,17,7,4,5,449,473,925,77,59,138,829,898,1735
UCL315080,36,33,72,200,226,423,0,0,0,20,17,36,0,0,0,341,382,716,0,0,3,13,9,21,0,4,5,0,0,0,14,9,24,0,0,0,3,13,18,0,7,12,25,43,74,0,4,4,3,0,5,48,56,105,33,41,74,0,0,0,702,821,1519,13,14,26,3,9,11,6,7,12,0,0,0,16,11,20,5,10,14,21,15,31,1150,1046,2203,10,6,18,7,12,19,1172,1068,2238,383,320,706,2338,2285,4624
UCL315081,7,11,23,241,307,546,0,0,0,10,22,30,0,0,0,320,393,718,0,0,0,0,0,0,5,13,19,3,0,8,5,8,12,0,0,0,3,0,8,18,11,26,46,47,91,3,0,4,7,3,10,108,165,274,24,30,53,4,0,3,790,1007,1798,5,3,9,0,5,5,0,0,0,0,0,0,0,3,3,4,3,13,4,10,11,733,616,1350,6,0,7,0,4,4,743,622,1363,124,111,237,1678,1770,3440
UCL315082,0,6,8,116,95,207,0,0,0,3,3,8,0,0,0,92,92,181,0,0,0,3,3,3,0,3,0,0,0,0,6,5,18,0,0,0,0,0,0,5,0,3,22,14,31,0,0,0,0,0,0,26,37,55,6,13,19,0,0,0,275,256,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,213,484,3,3,11,0,0,0,275,228,495,71,62,136,626,555,1176
UCL315083,0,0,6,82,87,169,0,0,0,12,19,31,0,0,0,115,143,257,0,0,0,0,6,10,0,4,4,0,0,0,7,3,11,0,0,0,4,0,5,0,4,9,26,22,47,0,0,0,0,0,0,19,31,49,12,10,23,0,0,0,282,334,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,173,376,0,0,0,0,0,0,207,173,383,25,18,46,513,524,1039
UCL315084,3,7,13,177,183,356,0,0,0,16,23,41,0,0,0,147,174,323,0,4,8,0,3,3,6,12,14,0,0,3,12,7,15,0,0,0,0,5,7,4,13,19,30,34,68,4,0,8,6,11,15,26,42,70,24,28,44,0,4,3,470,529,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,0,11,480,429,911,4,0,4,3,0,8,486,434,918,71,40,108,1027,1015,2044
UCL315085,8,10,14,165,216,382,0,0,0,38,42,87,0,0,0,218,281,497,3,3,9,0,0,3,3,3,4,16,15,28,19,40,59,0,0,0,5,7,11,9,8,18,27,17,44,9,10,10,7,3,3,57,84,138,32,33,58,0,3,0,604,765,1366,0,7,7,3,3,3,0,0,0,0,0,0,0,0,0,3,9,15,3,9,15,640,651,1285,8,6,13,3,4,5,644,659,1305,167,198,363,1431,1647,3074
UCL315086,28,46,69,288,260,548,0,0,0,30,24,59,0,0,0,237,280,518,0,0,0,3,10,11,5,5,4,0,3,9,9,13,24,0,0,0,11,5,19,14,22,38,50,69,123,11,11,22,12,6,14,46,66,107,78,67,148,7,11,12,809,845,1650,4,0,4,5,4,9,0,3,5,0,0,0,0,0,0,17,31,45,17,31,45,800,627,1427,12,8,18,14,15,30,818,653,1480,229,202,427,1914,1785,3698
UCL315087,3,10,8,209,201,408,0,0,0,28,29,55,0,0,0,294,315,613,3,5,5,3,6,6,7,9,12,0,0,3,14,15,32,0,0,0,7,6,13,16,10,24,40,27,64,0,0,3,3,6,4,64,92,149,35,41,84,9,7,9,721,760,1476,5,3,5,0,4,4,0,3,3,0,0,0,4,5,3,0,9,9,5,7,16,593,524,1112,14,8,14,3,4,6,606,526,1134,35,34,65,1364,1348,2712
UCL315088,5,9,12,228,272,498,0,0,0,7,10,24,0,0,0,274,327,601,4,0,4,0,0,0,0,4,10,0,0,0,8,9,17,0,0,0,17,7,23,17,12,29,37,44,81,5,3,9,0,4,4,98,102,194,36,53,91,4,0,8,738,852,1590,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,6,9,5,6,12,697,666,1366,3,6,8,0,5,6,704,670,1374,249,240,490,1704,1779,3487
UCL315089,4,6,9,227,251,482,0,0,0,13,11,18,0,0,0,282,332,615,8,10,14,0,0,3,4,5,11,6,3,6,9,11,12,0,0,0,3,4,4,17,23,38,34,48,84,0,0,0,0,4,4,22,22,43,42,47,88,0,0,0,654,763,1419,0,3,9,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,390,380,771,3,0,4,0,0,0,396,379,778,152,141,287,1212,1301,2508
UCL315090,20,28,51,285,402,687,0,0,0,37,47,87,0,0,0,548,661,1209,0,0,0,0,10,14,15,23,38,5,0,3,7,16,24,0,0,0,4,6,12,29,34,66,60,72,137,3,8,12,18,13,29,108,158,264,64,64,128,5,12,13,1184,1540,2723,8,13,23,5,3,12,0,0,0,0,0,0,10,5,10,0,10,10,10,16,24,821,702,1524,3,4,8,7,9,14,838,709,1548,244,250,497,2308,2558,4873
UCL315091,7,11,15,415,483,897,0,0,0,9,9,17,0,0,0,211,187,398,0,0,0,0,4,8,19,21,40,12,10,21,4,0,6,0,0,0,0,0,0,147,167,308,12,25,28,0,0,3,11,12,20,34,46,76,52,49,104,0,0,0,910,1012,1920,4,5,10,6,7,17,0,0,0,0,0,0,3,6,5,13,10,29,16,17,33,290,273,566,4,6,0,0,0,5,291,283,574,139,109,243,1374,1434,2805
UCL315092,4,11,15,206,219,420,0,0,0,17,22,40,0,0,0,162,162,323,0,0,0,0,0,0,8,18,28,0,0,0,14,11,24,0,0,0,3,10,15,6,5,6,34,30,66,0,0,4,3,0,4,51,62,116,22,26,53,0,0,4,534,569,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,4,502,418,925,8,0,11,3,0,4,506,428,938,118,93,216,1167,1108,2274
UCL315093,0,5,6,84,102,184,0,0,0,8,15,18,0,0,0,60,87,144,0,0,0,0,0,0,4,7,8,0,0,0,11,6,20,0,0,0,0,0,0,0,0,0,10,12,22,0,0,0,0,0,0,27,48,77,17,15,31,20,23,44,241,314,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,149,326,0,0,0,0,0,4,182,153,331,23,33,58,452,505,957
UCL315094,4,7,15,158,213,370,0,0,0,13,19,36,0,0,3,142,194,334,4,3,5,5,5,14,3,8,12,3,0,0,13,7,26,0,0,0,3,3,12,5,13,20,26,33,61,0,0,0,0,0,4,43,51,95,31,42,75,0,0,0,470,594,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,551,510,1065,0,3,4,0,9,9,554,518,1074,95,88,180,1129,1213,2344
UCL315095,0,7,5,130,122,259,0,0,0,10,8,19,0,0,0,293,268,563,0,0,0,10,9,20,13,17,33,0,0,0,9,10,14,0,0,0,7,5,11,20,33,47,14,27,38,0,7,5,0,11,12,37,43,80,16,17,24,0,0,0,563,574,1133,15,12,30,0,0,0,0,0,0,0,0,0,52,35,87,0,0,0,60,35,91,363,320,682,9,4,11,0,0,0,368,320,694,178,120,300,1187,1064,2252
UCL315096,0,4,7,179,210,398,0,0,0,5,3,17,0,0,0,462,525,986,0,0,3,0,0,0,12,9,19,0,4,0,15,15,35,0,0,0,5,4,11,7,6,10,39,30,70,0,0,0,8,5,15,122,158,279,35,32,63,4,3,8,891,1021,1912,0,0,3,3,9,8,0,3,4,0,0,0,0,0,0,0,0,0,0,0,5,653,588,1242,4,0,4,4,4,7,660,595,1253,213,159,374,1773,1792,3567
UCL315097,0,0,7,88,111,199,0,0,0,25,20,48,0,0,0,140,163,305,3,0,5,3,0,4,9,5,11,10,8,20,26,21,44,0,0,0,0,4,8,12,7,15,16,25,33,0,6,3,5,3,4,35,54,93,28,38,66,5,0,7,398,460,859,5,6,12,0,0,4,0,0,0,0,0,0,7,0,6,12,13,21,9,12,23,473,421,887,4,9,9,0,6,6,471,430,906,62,62,123,955,971,1927
UCL315098,3,24,26,224,229,453,0,0,0,15,20,32,0,0,0,331,337,664,0,0,3,9,4,7,11,18,33,0,0,0,10,8,19,0,0,0,5,3,14,24,15,43,27,22,48,0,5,0,0,10,11,72,75,143,21,29,47,0,0,0,740,778,1514,14,11,28,3,8,7,0,0,0,0,0,0,0,0,0,0,3,5,3,3,6,1051,868,1915,3,5,8,0,0,0,1054,872,1927,344,252,591,2161,1939,4097
UCL315099,0,3,0,304,344,645,0,0,0,28,22,41,3,0,7,449,523,968,17,22,36,0,3,7,0,8,12,0,6,4,76,80,158,0,0,0,3,5,13,22,39,56,46,56,101,0,0,0,11,13,22,53,72,126,89,84,175,4,3,11,1099,1280,2374,4,3,5,4,3,3,0,0,0,0,0,0,0,4,5,8,5,15,6,13,24,661,629,1288,4,0,0,0,0,0,664,627,1294,98,56,153,1878,1988,3864
UCL315100,3,9,8,78,95,172,0,0,0,17,16,28,0,0,0,107,108,216,0,0,0,0,0,4,0,0,0,0,0,0,14,15,27,0,0,0,10,8,15,3,4,11,19,20,45,0,3,4,4,5,8,27,31,54,22,16,36,4,3,9,303,326,626,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,4,3,273,260,532,5,4,6,0,0,0,276,260,539,69,46,111,654,642,1300
UCL315101,5,6,13,110,119,227,0,0,0,19,15,32,0,0,0,185,179,365,24,16,41,0,0,0,5,6,5,4,5,6,43,43,82,0,0,0,3,0,4,7,20,32,24,14,45,0,0,0,0,0,0,36,42,79,48,68,116,20,21,43,539,541,1076,0,0,3,0,0,0,0,0,0,0,0,0,3,8,6,0,0,3,7,5,7,333,284,616,0,0,6,0,0,0,336,290,624,35,32,70,924,877,1796
UCL315102,3,7,8,113,116,230,0,0,0,24,29,54,0,0,0,138,131,269,0,0,0,0,0,4,4,8,13,0,0,0,41,44,87,0,0,0,6,10,11,7,6,10,17,33,48,3,3,4,3,0,5,67,77,150,22,31,55,0,0,0,444,498,948,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,10,7,318,309,625,3,0,9,4,6,10,330,310,646,88,84,172,871,912,1782
UCL315103,10,6,14,64,66,130,0,0,0,4,0,4,0,0,0,120,151,269,0,0,0,6,0,5,0,0,0,0,0,0,7,7,13,0,0,0,3,0,3,3,9,12,22,8,30,0,0,0,18,19,36,34,31,63,4,6,11,0,0,0,287,302,591,0,0,0,0,0,0,0,0,0,0,0,0,9,5,12,0,0,0,9,6,13,266,255,517,0,0,0,0,0,0,269,254,525,97,87,183,669,659,1323
UCL315104,6,9,13,162,163,323,0,0,0,12,19,32,0,0,0,147,195,345,0,0,0,6,0,8,12,12,22,3,3,7,3,7,8,0,0,0,8,12,13,0,0,3,24,22,46,4,0,8,0,4,8,46,55,100,25,29,56,4,10,18,462,527,990,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,12,16,593,545,1140,0,0,5,0,4,4,591,553,1147,1500,63,1564,2566,1170,3734
UCL315105,0,9,7,148,136,278,0,0,0,8,7,22,0,0,0,93,122,210,0,0,0,0,0,0,0,3,3,0,0,0,10,4,13,0,0,0,3,0,9,9,10,14,21,34,57,0,0,0,0,0,0,41,51,93,12,16,25,0,0,0,341,388,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,232,495,0,0,0,0,0,0,260,236,501,61,60,122,673,685,1359
UCL315106,5,0,4,122,174,295,0,0,0,4,10,11,0,0,0,160,203,360,0,0,3,0,0,0,5,5,11,0,7,7,23,28,47,0,0,0,4,7,10,10,10,19,17,16,30,3,4,3,3,4,10,35,49,80,39,48,88,0,0,0,424,551,982,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,385,412,800,0,0,5,0,0,0,391,414,808,52,46,98,876,1024,1897
UCL315107,13,29,42,123,123,248,0,0,0,17,39,54,0,0,0,143,167,314,3,3,9,8,5,12,10,8,17,0,4,6,5,3,13,0,0,4,3,0,9,11,28,41,29,21,48,0,4,3,5,3,14,28,36,63,43,54,96,0,3,3,435,500,937,0,4,5,4,3,7,0,4,5,0,0,4,5,0,4,3,0,4,6,5,12,730,675,1400,7,7,4,0,4,7,733,685,1416,97,74,171,1293,1301,2595
UCL315108,0,0,0,482,543,1025,0,0,0,0,0,0,0,0,0,14,12,27,0,0,0,0,0,0,9,9,14,0,0,0,4,0,14,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,4,5,5,0,3,3,0,0,0,0,0,0,519,578,1089,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,4,3,4,71,76,147,0,0,0,0,0,0,71,75,145,14,12,29,604,669,1273
UCL315109,5,7,10,73,94,164,0,0,0,14,14,27,0,0,0,83,92,175,0,0,0,0,0,0,4,12,19,0,0,0,5,0,0,0,0,0,0,0,4,9,6,11,6,17,26,0,0,0,0,0,0,13,22,38,16,14,34,0,0,0,222,276,503,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,225,441,3,0,5,6,8,6,218,233,450,38,44,84,492,561,1052
UCL321001,0,0,0,43,48,88,0,0,0,0,0,6,0,0,0,30,38,66,3,0,0,0,0,0,6,5,0,0,0,0,5,3,13,0,0,0,0,4,4,8,4,12,7,4,15,0,0,3,0,4,5,7,14,22,0,7,10,0,0,0,114,125,238,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,166,139,302,0,0,0,0,4,4,166,138,310,29,23,51,309,290,603
UCL321002,0,3,6,83,107,187,0,0,0,3,7,13,0,0,0,80,110,190,0,0,0,0,0,0,0,3,9,3,0,3,0,5,8,0,0,0,0,0,0,0,3,3,18,17,35,0,0,3,0,0,0,32,23,51,10,17,25,0,0,0,232,285,516,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,115,231,0,0,0,0,0,0,121,115,236,52,29,86,412,433,843
UCL321003,0,0,0,30,28,62,0,0,0,0,4,7,0,0,0,29,32,60,0,0,0,0,0,0,0,7,8,0,0,0,5,4,5,0,0,0,4,0,9,3,9,11,7,6,15,0,0,0,0,0,0,8,16,30,14,13,25,0,6,6,104,127,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,5,0,11,139,110,243,0,0,0,0,0,0,141,105,244,47,43,92,303,272,574
UCL321004,0,0,0,34,45,75,0,0,0,4,9,7,0,0,0,47,46,85,3,8,13,0,0,0,3,5,8,0,0,0,12,9,15,0,0,0,0,0,0,3,0,3,0,3,5,0,0,0,0,0,0,6,17,24,17,12,35,0,0,0,138,145,276,3,0,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,96,197,0,0,0,0,0,0,98,98,199,33,33,69,279,272,553
UCL321005,0,4,7,52,53,100,0,0,0,6,9,20,0,0,0,55,69,129,0,0,6,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,4,0,0,0,9,7,16,0,0,3,0,0,0,23,22,49,8,9,12,0,0,0,158,181,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,139,294,0,0,0,0,0,0,154,137,293,50,55,99,361,379,742
UCL321006,0,0,0,125,134,253,0,0,0,0,0,0,0,0,0,26,36,60,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,5,4,10,37,40,80,0,0,4,0,0,0,0,5,5,8,7,7,16,17,34,0,0,0,215,247,462,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,5,4,5,70,69,132,0,0,0,0,0,4,71,68,135,49,47,103,336,363,704
UCL321007,0,4,3,57,55,110,0,0,0,3,9,15,0,0,0,234,251,481,0,0,0,0,0,4,0,4,3,0,0,0,9,3,18,0,0,0,9,4,13,3,7,13,8,6,12,7,4,7,10,9,16,35,36,68,19,20,40,0,0,0,391,415,801,8,9,22,14,4,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,274,247,527,0,4,5,0,0,0,274,257,534,122,91,212,815,775,1590
UCL321008,3,10,9,74,85,166,0,0,0,4,4,8,0,0,0,89,92,185,0,0,5,0,6,3,4,3,6,0,0,0,8,4,7,0,0,0,0,0,0,3,0,3,16,14,31,3,6,6,0,0,3,26,20,47,4,7,10,0,0,0,230,251,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,7,200,166,362,4,0,4,0,0,0,202,167,369,71,58,134,506,489,998
UCL321009,3,0,5,93,97,194,0,0,0,12,5,21,0,0,0,140,157,297,0,0,0,0,0,0,5,5,7,0,4,7,6,10,6,0,0,0,0,0,0,10,3,11,9,9,22,0,0,0,0,0,0,38,62,103,8,0,9,0,0,0,322,367,691,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,210,175,385,0,0,0,0,0,0,211,175,388,82,82,157,620,626,1243
UCL321010,3,4,12,44,63,112,0,0,0,4,5,4,0,0,0,129,119,248,0,0,0,6,6,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,12,23,11,13,22,0,0,4,0,4,6,8,18,28,9,8,15,0,0,0,229,251,475,3,11,11,0,0,0,0,0,0,0,0,0,20,10,33,10,15,19,33,25,51,153,143,293,0,0,0,0,0,3,154,142,299,25,27,56,449,458,912
