UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL114018,12,6,20,28,12,18,7,0,0,112,0,8,28,18,23,25,9,3,0,115,188,224,563,588,764,752,256,42,0,3383
UCL114019,6,11,33,23,28,24,11,0,0,131,10,8,28,19,27,40,13,9,0,150,123,251,658,502,514,529,191,41,0,2807
UCL114020,13,22,34,40,28,35,0,0,0,170,14,9,15,22,21,29,8,0,0,136,258,321,808,768,858,759,244,47,0,4066
UCL114021,8,17,34,46,29,30,13,0,0,181,11,21,24,29,26,33,10,0,0,161,281,283,598,851,900,787,183,33,3,3911
UCL114022,5,8,20,17,16,19,5,0,0,80,3,6,13,15,29,16,3,0,0,96,133,138,288,334,417,456,134,27,3,1929
UCL114023,9,8,23,27,12,15,10,0,0,114,11,12,25,11,30,18,3,3,0,122,159,251,618,457,439,414,127,12,6,2482
UCL114024,14,24,46,21,31,24,10,7,0,183,22,18,47,24,26,17,4,4,0,159,302,435,932,821,820,697,189,33,0,4233
UCL114025,6,8,13,25,28,16,3,0,0,102,10,5,16,40,19,14,0,0,0,115,218,161,419,887,749,464,113,5,0,3010
UCL114026,9,7,28,26,14,12,4,4,0,107,8,6,26,30,20,11,6,0,0,105,156,210,644,541,503,307,110,20,0,2493
UCL114027,5,5,15,13,16,22,7,0,0,86,3,8,11,7,15,13,11,0,0,70,139,158,269,311,501,502,149,28,0,2043
UCL114028,4,9,23,26,9,11,9,0,0,91,6,7,14,13,11,13,3,0,3,76,138,183,569,541,453,380,118,20,3,2400
UCL114029,14,13,36,30,30,17,6,0,0,141,4,12,29,22,36,25,4,0,0,135,177,268,648,579,620,450,81,6,0,2823
