UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL313011,11,15,8,14,15,7,5,5,0,75,45,48,38,115,66,32,20,31,0,397,103,49,389,219,169,91,131,145,25,1314,4,4,10,12,12,13,9,16,0,89,5,6,11,15,20,10,12,15,3,90,0,0,0,0,0,3,4,0,0,13,8,10,5,10,4,3,3,11,13,76,241,420,484,462,360,189,197,246,51,2644
UCL313012,42,66,31,48,34,19,9,10,3,259,80,96,62,188,79,31,24,23,3,583,241,90,985,352,258,132,313,164,36,2564,7,9,14,27,19,15,5,32,0,134,24,13,17,29,24,16,16,15,0,152,4,10,9,6,10,3,3,4,0,44,15,20,11,30,12,5,22,19,17,155,660,1534,1215,818,587,248,414,271,86,5836
UCL314001,9,26,7,20,14,0,4,10,0,89,27,23,15,76,36,18,0,17,7,214,75,39,239,129,84,44,74,100,21,805,11,0,5,9,9,12,0,16,0,67,4,0,4,15,5,8,0,5,0,50,0,4,4,0,0,0,0,0,0,12,3,8,8,10,6,10,3,21,11,81,194,440,299,326,195,102,94,188,46,1881
UCL314002,9,31,11,14,13,0,0,8,0,90,29,19,15,58,22,9,3,28,7,191,124,32,387,126,105,51,100,118,12,1053,0,0,8,8,10,12,3,11,0,53,12,4,9,12,8,13,6,13,0,69,0,3,0,0,7,0,7,7,0,29,0,0,3,7,0,6,3,34,11,69,239,415,439,282,190,104,136,272,27,2098
UCL314003,13,12,12,21,14,4,3,3,0,78,25,18,5,66,32,16,14,15,3,197,59,38,264,152,110,58,104,119,17,914,3,0,8,9,11,17,9,15,0,66,7,3,3,18,13,4,3,10,0,64,0,0,0,5,0,0,0,4,0,13,5,4,11,15,6,6,9,16,16,81,158,289,317,320,195,112,143,183,36,1761
UCL314004,8,11,13,16,13,3,4,0,0,73,18,37,19,59,42,24,9,16,4,223,60,35,288,134,88,46,65,97,7,819,0,0,8,13,5,3,4,10,0,41,3,0,6,12,11,7,5,8,0,52,3,3,0,0,4,0,0,0,0,15,3,9,4,5,8,8,6,5,3,49,148,384,361,281,190,108,100,145,20,1738
UCL314005,7,9,10,6,7,0,0,5,0,49,18,28,15,29,19,4,4,8,6,133,50,31,351,68,106,37,142,70,20,863,0,5,5,6,9,8,9,18,0,56,4,0,4,7,9,3,4,7,0,38,0,3,0,7,0,0,7,0,0,8,4,0,4,12,3,5,12,19,9,60,134,332,412,160,180,59,183,137,38,1635
UCL314006,16,19,10,23,8,8,6,12,0,98,23,19,10,76,34,8,17,34,0,227,92,44,360,166,114,55,197,134,20,1182,5,6,4,14,15,5,6,14,0,67,9,0,9,16,10,5,13,24,0,89,0,0,3,0,3,0,6,9,0,19,7,9,4,12,3,3,10,32,7,86,228,393,430,348,233,99,264,326,37,2355
UCL314007,12,9,4,12,8,0,0,0,0,54,22,21,13,54,30,3,7,4,5,162,60,38,254,141,72,43,90,71,20,793,9,4,9,10,3,12,7,9,0,67,0,0,3,5,5,3,6,3,0,34,0,0,0,0,0,0,0,0,0,10,0,8,5,14,0,5,12,14,0,66,165,512,308,269,135,85,126,124,40,1759
UCL314008,10,16,7,7,7,3,0,0,5,61,26,24,34,38,31,10,8,12,0,186,88,25,310,68,88,41,90,78,10,806,10,0,14,9,12,7,8,14,0,80,5,3,7,8,8,0,4,5,0,43,0,5,0,0,0,0,0,6,0,14,7,3,8,3,9,5,14,21,4,79,205,344,411,158,202,73,139,218,30,1784
UCL314009,17,20,7,20,28,10,0,4,0,102,43,42,23,92,65,21,16,7,9,321,116,49,409,155,151,73,126,116,33,1224,3,3,15,8,26,10,17,8,0,89,4,0,7,12,11,9,8,7,0,71,0,0,4,0,4,0,0,0,0,14,0,0,7,14,5,0,4,4,10,48,253,345,492,362,336,137,178,160,56,2323
UCL314010,11,5,5,13,10,5,3,18,0,61,40,11,17,29,15,8,12,61,6,191,37,28,152,95,54,30,54,125,8,581,0,0,3,5,6,17,4,34,0,82,15,0,0,13,8,0,3,23,0,63,4,0,0,0,0,0,3,26,0,35,5,0,0,12,0,6,8,35,20,85,197,244,206,194,122,89,95,588,54,1783
UCL314011,10,20,3,16,4,4,0,0,0,58,37,13,16,38,27,12,8,8,3,159,84,16,222,88,76,44,66,55,9,662,3,0,6,6,8,7,3,5,0,33,3,6,0,11,11,0,10,5,0,50,0,4,0,0,0,0,3,0,0,10,4,0,3,10,3,11,6,8,6,59,218,348,277,204,171,82,99,106,24,1524
UCL314012,13,22,14,15,9,4,5,0,0,82,28,36,10,67,48,13,0,12,7,216,81,30,360,130,103,57,69,74,19,931,3,0,10,8,16,15,9,13,0,66,6,3,0,9,8,8,5,9,0,47,0,4,0,0,0,0,0,0,0,12,5,0,3,9,8,0,0,4,3,34,198,348,422,291,227,97,92,117,29,1819
UCL314013,9,17,4,11,4,4,3,14,0,61,27,21,18,58,20,3,9,29,0,183,57,37,192,126,75,51,48,97,14,700,9,4,5,6,3,11,3,24,0,63,9,3,6,9,7,7,0,12,0,48,8,0,0,0,0,0,0,0,0,15,3,7,4,9,3,9,0,31,14,75,172,322,240,259,137,89,76,266,30,1602
UCL314014,16,18,13,23,10,0,6,0,0,80,39,35,33,62,44,13,10,9,4,252,73,44,336,84,112,38,90,78,19,866,5,0,7,3,10,9,0,3,0,38,9,3,10,11,20,3,10,8,0,67,0,0,5,0,0,0,0,0,0,7,5,3,9,7,11,3,4,0,15,53,207,285,425,226,235,78,129,106,41,1737
UCL314015,16,9,7,18,8,0,3,3,3,66,45,23,15,63,36,12,16,5,3,222,82,36,286,133,75,43,93,93,6,850,3,3,10,11,9,24,9,14,0,79,5,3,0,10,18,3,9,8,0,60,0,5,0,0,0,0,0,0,0,8,3,0,3,9,5,0,0,11,4,37,194,244,335,276,173,87,141,142,20,1604
UCL314016,14,22,9,19,21,7,0,13,0,98,32,36,18,70,43,7,11,31,3,261,82,30,264,148,74,54,65,112,13,840,6,3,5,7,8,7,4,11,0,55,5,0,0,8,6,9,7,8,0,52,4,6,0,7,0,0,3,9,0,24,11,11,8,11,3,4,9,36,8,100,209,388,332,344,190,99,99,320,46,2020
UCL314017,19,13,15,11,14,5,9,3,0,78,42,37,46,28,53,9,39,12,4,270,92,76,659,89,133,44,354,69,51,1576,3,0,11,5,12,12,12,10,0,67,6,5,15,4,11,14,17,5,4,77,0,0,9,4,0,0,4,0,0,25,8,4,9,3,9,3,24,4,22,77,288,522,834,203,267,90,501,141,86,2925
UCL314018,37,30,22,31,32,11,3,0,3,163,79,81,58,73,75,20,11,16,3,416,121,52,399,96,142,61,62,71,20,1022,13,0,9,8,4,4,6,7,0,54,16,7,7,12,16,10,3,7,3,67,3,5,4,0,0,0,0,0,0,16,7,7,9,4,10,0,4,4,9,52,430,724,531,302,359,130,89,118,43,2730
UCL314019,13,20,11,7,21,8,0,0,3,86,19,26,17,46,46,13,6,11,7,196,84,33,225,86,71,48,47,55,7,661,0,0,7,4,9,3,8,6,0,34,3,3,6,7,9,5,6,8,0,45,0,0,0,0,0,0,0,0,0,9,4,8,4,6,5,4,0,0,5,40,208,451,281,211,218,101,65,104,35,1668
UCL314020,19,14,5,20,16,4,0,0,0,74,37,32,26,40,51,4,10,20,5,206,108,38,340,88,140,70,82,78,13,961,3,4,10,10,14,15,4,12,0,75,3,7,8,4,13,10,10,12,3,71,0,0,5,0,3,4,0,7,0,18,4,5,8,9,6,9,3,10,10,55,270,493,422,234,288,128,108,149,37,2130
UCL314021,20,32,22,26,15,6,6,16,0,131,49,45,27,89,64,24,11,14,10,320,102,45,418,180,135,95,110,125,17,1214,4,0,5,13,16,6,5,18,0,74,10,4,11,23,15,13,4,9,0,83,0,6,0,0,0,6,0,0,3,15,3,5,11,17,10,5,5,11,10,73,254,443,493,403,282,167,148,198,49,2431
UCL314022,27,55,23,40,18,12,0,8,4,190,53,45,39,76,47,26,8,30,4,329,99,51,275,98,60,49,31,71,14,745,0,5,7,4,8,3,0,7,0,41,9,6,12,16,8,10,3,8,0,78,0,3,4,0,3,0,0,4,0,13,9,13,12,9,4,6,3,4,3,59,400,869,423,333,252,141,55,155,37,2663
UCL314023,19,48,28,30,27,9,6,0,0,169,49,57,37,73,59,9,18,9,9,314,107,77,682,187,144,66,187,116,35,1610,12,4,14,16,12,16,14,28,0,112,8,7,15,15,8,7,9,10,0,83,4,4,3,6,0,0,0,0,0,24,3,8,8,11,9,10,7,4,10,74,287,740,819,395,319,129,257,181,54,3177
UCL315001,3,3,0,3,3,0,0,0,0,18,4,6,4,6,3,0,0,0,0,35,18,8,51,12,11,6,10,13,5,129,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,12,43,69,71,42,27,14,18,23,11,322
UCL315002,11,15,0,3,4,0,0,0,0,32,20,15,18,22,23,0,5,0,0,105,35,21,200,54,50,28,40,33,10,460,0,0,0,0,3,5,0,6,0,22,4,0,3,4,9,3,3,0,0,28,5,0,0,0,0,0,0,0,0,4,4,4,3,6,4,0,0,0,0,26,111,232,238,118,119,44,48,43,8,956
UCL315003,0,3,0,3,0,0,0,0,0,3,0,8,3,5,6,0,3,4,0,31,15,4,58,24,10,0,25,6,0,153,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,14,23,66,72,49,34,6,30,17,0,306
UCL315004,3,0,0,5,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,8,0,0,4,4,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,9,11,16,8,18,8,0,8,0,0,72
UCL315005,0,8,0,3,0,0,0,0,0,11,0,0,0,8,6,0,0,0,0,25,11,9,39,22,20,5,14,11,3,127,0,0,0,6,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,22,60,48,48,30,10,17,17,8,262
UCL315006,0,0,0,0,0,0,0,0,0,7,6,3,0,12,5,0,0,0,0,32,12,15,31,27,23,8,12,8,0,133,0,0,3,3,6,0,0,6,3,23,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,5,4,0,29,35,98,36,58,34,10,15,24,13,317
UCL315007,6,12,0,3,8,8,0,0,0,45,17,14,13,26,21,12,4,4,3,107,27,16,114,59,40,16,34,57,9,367,3,0,0,3,3,8,0,6,0,18,5,5,5,3,0,0,9,0,0,24,0,0,0,0,0,6,0,0,0,8,0,0,0,9,0,4,0,4,3,23,78,152,136,129,99,51,51,71,11,785
UCL315008,6,5,5,8,6,0,8,3,0,40,13,12,18,26,17,3,10,8,5,107,31,12,326,52,60,13,226,40,19,781,0,0,10,0,5,6,17,11,0,59,3,0,4,0,5,0,10,5,0,26,0,0,0,0,0,0,0,0,0,8,0,0,4,0,4,3,19,8,10,50,90,191,379,97,113,33,303,91,32,1329
UCL315009,8,8,0,6,3,0,6,3,0,30,13,13,4,14,14,4,0,15,0,65,25,8,70,40,25,18,17,26,0,235,0,3,3,5,4,0,0,0,0,16,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,3,3,19,67,148,90,84,59,27,27,75,15,586
UCL315010,5,9,0,10,7,3,0,0,0,37,9,14,0,22,16,3,3,3,0,70,29,11,96,56,28,25,29,45,3,310,0,0,9,8,3,0,0,4,0,26,4,0,0,0,0,5,5,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,0,0,0,21,65,142,113,117,65,40,31,69,4,660
UCL315011,3,5,0,0,0,0,0,0,6,15,5,5,0,0,0,0,0,0,0,16,8,0,23,15,13,4,8,7,5,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,22,41,26,27,17,3,12,18,8,172
UCL315012,6,7,9,7,8,3,4,0,0,37,18,14,7,30,10,0,10,3,3,102,47,16,322,61,71,29,92,55,7,708,0,3,4,3,6,9,3,12,0,33,0,0,0,5,0,4,9,6,3,25,0,3,0,0,0,0,0,0,0,11,4,0,0,0,4,0,10,3,5,30,97,159,352,124,109,49,133,87,22,1134
UCL315013,5,3,0,0,3,0,0,0,0,13,0,3,4,25,8,5,5,0,0,55,27,15,108,42,44,29,28,30,3,314,3,5,0,0,0,7,5,0,0,27,0,0,0,5,0,5,0,0,0,14,0,0,0,0,0,0,6,0,0,6,0,0,0,5,0,9,3,3,0,24,45,98,117,92,77,47,41,46,7,571
UCL315014,0,6,4,0,3,0,0,0,0,15,4,3,7,17,9,0,0,0,0,38,8,5,33,17,5,13,6,12,8,102,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,21,23,35,40,43,22,28,10,22,7,242
UCL315015,0,4,9,4,3,0,3,0,0,32,10,4,15,22,20,9,3,0,0,93,43,18,147,46,43,9,34,28,9,378,0,0,0,0,3,0,0,3,0,16,3,0,0,0,4,4,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,17,77,126,176,103,101,27,52,41,10,707
UCL315016,5,7,3,9,9,0,3,0,0,41,19,26,15,44,25,3,4,9,4,157,58,14,206,55,59,24,50,46,8,533,0,0,3,0,4,4,3,7,0,26,5,3,5,3,6,0,3,9,3,29,5,0,0,0,0,0,0,0,0,13,3,0,0,4,4,0,0,4,3,25,132,170,246,152,125,44,66,74,19,1031
UCL315017,8,9,0,7,6,0,0,0,0,31,7,14,0,24,11,3,0,4,0,68,30,8,90,46,32,9,11,31,3,265,3,0,4,3,0,3,0,4,0,19,0,0,0,0,5,0,0,3,0,12,0,0,0,0,0,0,0,4,0,9,0,3,0,3,0,3,4,7,0,31,68,193,101,124,71,22,19,58,9,662
UCL315018,0,3,0,9,0,0,0,0,0,10,0,6,0,6,0,0,0,0,0,12,0,7,4,10,7,0,0,10,0,44,0,0,0,0,5,0,3,0,0,10,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,4,38,12,0,8,16,0,99
UCL315019,0,0,0,0,0,0,0,5,0,6,7,0,0,11,5,6,0,7,0,23,14,3,26,21,12,11,5,11,3,106,0,0,5,4,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,19,0,26,26,43,34,47,18,21,8,45,9,253
UCL315020,0,0,3,3,0,0,0,3,0,11,3,5,3,11,11,0,0,3,0,47,25,9,129,24,28,6,79,21,7,328,0,0,0,0,6,5,6,8,0,27,0,0,0,0,3,4,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,9,0,3,0,10,0,0,26,59,122,149,54,67,23,104,45,13,630
UCL315021,0,3,0,3,0,0,0,0,0,7,3,3,4,11,5,0,0,5,0,36,7,3,40,30,8,5,10,26,0,133,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,44,50,60,18,9,11,40,7,257
UCL315022,4,8,5,8,5,0,0,0,0,26,8,15,8,15,18,0,4,4,4,69,28,10,130,16,36,7,63,19,11,318,0,0,3,6,9,4,0,0,3,23,6,0,3,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,11,4,5,0,6,8,12,51,78,131,166,76,81,19,83,38,23,695
UCL315023,0,0,0,3,0,0,0,0,0,5,0,0,0,6,8,0,4,5,0,24,4,5,52,13,20,3,32,16,9,152,0,0,0,0,0,0,3,0,0,10,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,7,0,20,15,42,66,41,37,11,42,28,9,284
UCL315024,0,0,5,5,0,0,0,3,0,19,11,10,0,15,9,5,0,3,0,51,21,11,40,27,27,19,15,17,0,177,0,0,0,5,0,0,0,7,0,13,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,20,63,160,46,82,49,24,17,38,6,486
UCL315025,0,3,0,4,0,0,0,0,0,15,9,5,0,11,5,0,0,0,0,44,25,5,66,34,7,23,29,26,0,218,0,0,0,0,3,0,4,0,0,7,0,0,0,4,4,0,0,6,0,12,0,0,5,0,0,0,0,0,0,5,0,0,0,4,5,3,4,0,0,12,40,55,68,66,38,30,38,41,3,379
UCL315026,12,12,7,13,4,6,0,0,0,62,15,15,15,34,25,6,5,5,0,121,48,13,164,74,58,27,28,48,6,464,0,0,0,5,9,6,4,3,0,27,4,5,0,0,0,3,3,3,0,24,0,0,3,0,0,0,0,0,0,14,0,0,3,0,0,3,0,4,0,18,118,204,198,158,141,69,44,77,14,1019
UCL315027,4,4,0,0,0,0,0,0,0,17,5,0,3,23,6,4,0,0,0,31,9,10,34,24,15,6,13,28,0,143,0,0,0,3,0,3,0,3,0,12,0,0,5,5,0,0,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,55,47,59,30,10,19,47,5,299
UCL315028,4,0,0,3,3,0,0,0,0,13,0,7,5,21,18,7,0,0,0,52,22,4,78,48,27,9,21,32,3,235,0,0,4,3,0,0,0,5,0,13,0,0,3,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,4,13,32,57,92,86,53,17,34,41,10,417
UCL315029,14,10,9,8,9,0,0,0,0,46,26,14,7,29,15,9,6,0,0,115,29,19,117,27,28,15,13,24,5,279,0,0,0,4,0,7,5,5,0,18,8,0,0,7,10,0,0,0,0,20,0,5,0,0,0,0,0,0,0,10,0,0,0,3,5,0,0,4,3,17,128,217,144,104,96,46,31,40,9,811
UCL315030,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,8,6,5,8,17,3,0,0,10,0,43,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,22,53,8,31,6,0,0,9,6,135
UCL315031,7,0,0,4,3,0,6,0,0,21,7,9,10,12,5,0,17,7,0,62,14,13,166,14,28,9,135,32,11,420,0,0,5,3,8,4,9,6,0,34,0,0,4,3,0,0,7,0,0,20,0,0,0,0,0,0,0,0,0,3,3,0,4,0,4,0,22,9,0,42,47,97,196,45,58,17,202,55,20,727
UCL315032,14,11,7,9,7,0,0,4,0,51,18,18,11,37,30,7,4,4,5,136,33,32,184,88,56,33,72,36,10,538,0,0,0,7,10,9,4,3,0,38,3,0,5,14,8,4,4,5,0,47,0,0,0,0,5,0,0,4,0,10,0,0,6,8,6,5,4,3,0,37,110,241,227,186,126,64,100,64,16,1145
UCL315033,0,3,7,3,6,0,0,0,4,15,5,0,0,13,9,4,0,0,0,37,8,4,24,28,10,10,12,27,0,116,0,0,0,5,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,9,23,37,32,63,33,17,13,31,4,248
UCL315034,8,4,0,3,4,0,0,0,0,20,6,7,4,15,3,5,0,3,0,45,12,3,60,23,14,8,7,7,0,134,0,0,0,3,0,5,0,0,0,6,4,4,6,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,42,110,78,53,46,24,16,25,5,405
UCL315035,4,7,0,6,7,0,0,0,0,33,17,18,15,44,23,7,3,6,4,131,33,22,148,98,53,27,49,49,5,476,0,0,5,3,12,8,6,10,0,41,0,0,0,0,5,4,4,3,4,27,0,0,3,4,0,0,0,0,0,11,0,0,5,0,3,0,3,4,0,17,90,162,187,178,125,44,71,69,16,942
UCL315036,3,0,4,4,0,0,5,0,0,14,10,3,5,16,3,0,0,3,0,45,4,3,43,32,17,5,12,43,3,172,4,0,0,3,5,0,5,4,0,20,0,0,0,5,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,3,0,12,38,62,54,66,39,13,17,72,5,364
UCL315037,16,19,9,8,10,0,5,3,0,67,33,23,14,42,29,16,7,6,0,173,60,27,204,76,76,36,55,67,10,610,0,0,6,6,3,9,6,4,0,36,6,0,4,7,8,4,8,3,0,41,0,0,3,0,0,0,0,0,0,7,0,0,5,4,6,6,0,3,3,24,158,275,259,175,164,73,79,113,19,1310
UCL315038,7,5,3,5,3,0,0,0,0,29,13,15,17,18,24,8,4,0,0,95,32,18,150,49,54,18,21,26,0,372,0,3,0,6,7,0,0,4,0,12,5,3,6,4,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,14,80,178,189,99,107,34,34,40,5,763
UCL315039,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,11,7,0,11,9,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,36,11,27,4,0,6,3,0,104
UCL315040,14,7,20,5,8,0,0,3,0,53,24,10,27,46,5,10,7,11,5,138,38,19,101,51,14,8,8,37,5,285,0,6,3,15,0,3,0,3,0,31,0,4,7,8,0,0,4,0,0,28,0,0,0,0,3,0,0,0,0,5,0,0,3,7,0,0,0,6,4,25,128,88,202,206,45,41,29,149,15,906
UCL315041,0,9,0,0,4,0,3,0,0,15,4,7,3,4,3,0,0,4,0,31,9,3,99,10,15,8,39,14,9,217,0,5,6,0,0,6,0,5,0,11,0,0,0,0,6,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,18,27,63,113,20,33,15,46,20,15,350
UCL315042,5,6,0,10,3,0,0,0,0,18,12,4,0,17,4,0,4,4,0,52,37,16,128,57,22,18,41,30,3,350,0,0,5,10,5,5,0,8,0,32,3,0,0,4,5,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,9,0,3,8,3,4,5,0,6,30,67,111,140,110,54,32,55,56,9,635
UCL315043,0,0,0,0,0,0,0,0,0,3,0,0,5,7,6,3,0,0,0,22,4,7,15,20,6,10,6,11,0,72,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,15,27,16,36,14,19,4,18,3,156
UCL315044,3,5,5,12,0,3,0,0,0,31,5,10,3,24,19,5,0,4,3,79,44,18,196,88,40,29,64,58,10,548,0,3,5,5,8,11,4,12,0,35,0,5,5,9,12,4,5,0,0,38,0,3,0,0,0,0,4,0,0,7,7,4,0,3,3,3,8,10,0,35,78,191,219,158,90,61,86,93,14,992
UCL315045,10,13,4,8,5,4,0,3,0,53,31,19,5,29,33,10,6,11,0,139,73,27,184,42,57,30,33,41,6,489,0,0,5,0,3,0,0,4,0,21,3,0,4,5,9,3,6,5,0,33,0,0,4,0,0,3,0,0,0,9,4,7,0,5,0,0,7,0,12,40,174,183,216,99,132,51,53,70,27,1011
UCL315046,0,0,0,4,0,0,0,3,0,11,7,0,3,14,6,3,0,29,0,65,14,0,53,27,24,12,12,58,5,207,3,0,4,0,0,0,3,4,0,20,3,0,5,0,4,0,0,14,0,25,0,0,12,0,0,0,0,9,0,23,6,0,14,5,0,0,7,13,5,49,41,62,123,64,39,20,25,215,9,610
UCL315047,6,3,0,0,0,0,4,0,0,16,9,8,14,21,24,3,6,4,0,88,23,11,128,45,46,20,36,36,13,363,0,0,4,6,0,3,0,6,0,25,0,0,5,6,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,44,84,154,88,89,33,47,52,14,611
UCL315048,9,4,0,0,0,0,0,0,0,14,3,9,0,8,7,0,0,3,0,36,9,5,38,27,20,12,20,14,11,161,0,0,3,0,4,0,0,0,0,8,0,0,0,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,9,0,3,4,0,0,4,21,24,48,57,43,47,19,31,22,14,321
UCL315049,12,12,0,10,6,3,0,0,0,51,14,10,5,20,15,4,0,3,5,69,14,27,84,47,28,15,13,18,4,254,0,0,0,0,4,0,0,0,0,9,4,0,6,8,0,0,0,0,0,24,4,3,0,0,0,0,0,4,0,9,4,3,4,3,4,10,0,5,4,36,86,217,111,129,74,46,18,41,17,743
UCL315050,3,12,0,11,3,3,0,3,0,29,8,18,5,36,19,7,0,8,0,96,22,15,90,68,29,30,26,59,3,333,0,0,5,3,5,3,0,10,0,29,4,0,0,3,0,0,0,8,0,27,0,0,0,0,6,0,0,0,0,0,3,9,0,13,0,3,5,4,3,30,53,116,109,148,74,59,37,85,7,689
UCL315051,15,23,10,12,16,3,0,3,0,83,33,27,26,63,38,16,8,4,4,213,51,31,298,92,55,39,56,86,8,718,3,0,4,7,10,9,3,8,0,49,7,0,0,9,12,6,8,6,0,47,0,4,3,0,0,0,0,0,0,9,3,0,4,12,0,3,3,7,3,35,146,272,365,230,160,97,90,127,26,1514
