SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED54403,155,621,152,312,33,1397,140,118,511,222,335,33,1356,3,5,22,23,41,8,105,12,10,67,79,371,23,558,28,6,84,59,338,90,612,720,477,3128,2271,8935,603,16131
SED54505,276,886,191,218,33,2185,534,203,1435,386,336,84,2984,22,10,81,41,54,7,215,45,21,132,95,184,14,503,123,17,268,87,163,69,722,3166,915,7012,2134,3058,453,16734
SED54605,117,405,195,351,35,1206,108,99,469,357,662,71,1759,4,3,15,23,59,3,106,9,5,42,65,295,20,437,14,5,63,53,271,77,488,482,358,2042,1957,5944,497,11280
SED54701,140,528,155,292,32,1209,63,53,460,215,391,45,1222,6,0,19,9,29,0,60,4,4,27,58,374,9,480,4,3,49,37,165,74,333,279,313,2355,1507,5040,594,10085
SED54804,351,1009,237,231,37,2302,532,231,1624,413,363,51,3222,33,25,159,54,89,9,368,42,17,168,130,356,21,728,73,10,256,112,186,97,734,2482,1161,8246,2923,4593,574,19985
SED54905,294,984,181,170,32,2258,635,208,1506,318,284,71,3014,40,14,143,41,70,7,318,55,21,154,83,208,19,542,117,23,247,93,119,78,687,3278,1094,8126,2229,2942,477,18140
SED55005,159,647,218,364,37,1707,344,159,1125,506,649,94,2884,15,3,67,38,78,10,211,28,20,109,127,431,25,747,77,15,207,104,297,113,825,1897,577,5132,2776,5851,614,16841
SED55102,168,516,211,400,27,1462,150,118,695,474,740,75,2245,4,3,38,32,86,8,175,15,9,72,128,585,15,827,32,4,100,108,389,91,727,780,521,3070,2828,7848,603,15642
SED55202,121,403,170,315,33,1189,167,84,793,476,707,84,2310,14,5,57,50,79,7,206,26,7,110,112,398,22,678,47,5,128,91,305,101,689,1027,381,3409,2353,5694,580,13445
SED55306,213,653,185,327,21,1516,165,151,784,382,573,63,2128,4,3,42,34,75,7,166,15,12,58,75,396,19,573,14,3,100,77,207,69,470,607,600,3521,2323,6548,557,14165
SED55405,260,827,188,199,21,2039,532,197,1384,461,465,77,3121,54,12,160,77,101,10,416,44,25,181,119,283,23,679,132,13,278,103,193,119,842,3382,1012,8194,2942,4408,609,20548
