SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR522,30,24,52,55,78,137,195,198,86,859,7,6,11,8,21,24,31,24,14,148,111,119,276,274,306,385,327,195,81,2075,750,1168,2554,2415,2604,3062,2656,1337,375,16922
SOSR531,53,37,149,168,302,477,960,965,355,3464,15,16,44,87,136,108,71,90,37,607,778,1179,2943,3001,3160,2879,1992,980,199,17114,4397,7715,17358,20796,25401,27120,19966,8076,1649,132476
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
SOSR599,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
SOSR603,64,61,231,226,269,481,804,1181,978,4295,9,24,158,125,167,157,144,89,53,928,407,545,1678,1141,938,999,1194,1102,622,8633,4266,12412,34017,25311,22996,22694,20301,11948,4882,158826
SOSR611,22,43,156,154,156,242,448,572,550,2339,3,18,93,126,160,100,59,64,25,650,193,362,685,456,418,476,514,581,350,4031,1945,5387,12321,9763,9861,9420,8357,5299,2206,64570
SOSR612,15,27,50,58,82,159,339,447,419,1600,0,12,28,19,27,33,33,16,8,176,118,114,333,248,287,330,386,382,215,2401,1185,2580,5866,4939,5504,5809,5285,3282,1254,35710
SOSR613,0,4,9,16,32,53,131,154,178,576,0,0,0,0,0,3,6,4,0,22,45,47,54,81,87,97,134,136,55,727,290,637,1259,1266,1515,1899,1817,1218,471,10373
SOSR614,9,0,10,12,35,75,162,152,108,568,0,0,3,3,11,18,9,3,7,53,57,63,116,132,134,145,190,128,56,1008,429,854,1954,1907,1968,2430,2202,1205,364,13322
SOSR615,16,14,48,51,81,251,584,609,506,2174,4,11,22,19,17,27,27,18,17,157,172,136,386,384,441,487,677,669,357,3719,1449,3166,7611,6888,7581,8832,9108,5416,1942,51981
