SOSR_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR431,386,54,624,276,243,180,115,317,43,2244,7,0,3,3,6,0,4,0,0,26,131,74,65,81,66,29,52,67,24,591,392,92,217,164,139,107,144,242,183,1675,10388,9340,6863,4771,4322,1821,1928,3672,763,43869
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR499,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
SOSR501,4115,1224,12785,6847,4688,3480,2677,3516,387,39725,55,68,97,133,90,114,91,193,30,862,1300,2019,1535,1537,1271,622,1068,852,319,10528,1579,1679,3110,1976,1744,1099,1667,1912,3203,17968,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
SOSR511,122,40,425,230,144,162,134,177,15,1457,3,5,0,10,0,3,7,6,0,35,31,59,67,46,39,13,73,40,8,370,45,49,139,57,41,43,94,98,108,673,2168,5366,5245,3143,2432,1259,1670,1760,349,23383
SOSR512,250,67,794,395,258,214,197,255,22,2456,0,4,4,10,4,13,5,16,0,60,56,62,97,81,37,20,57,49,17,477,82,75,212,125,82,68,134,151,134,1067,3788,8437,7785,4971,3553,1926,2446,2576,490,35974
SOSR513,159,54,361,213,180,100,107,140,21,1344,4,0,3,4,0,0,3,4,0,22,47,59,93,51,43,14,54,39,16,418,64,81,189,89,84,57,98,134,156,957,2717,4916,5481,2521,2488,929,1544,1507,486,22591
SOSR514,87,15,264,99,47,58,48,86,7,718,4,0,0,0,0,0,0,4,0,10,5,20,20,16,5,6,9,20,0,108,28,19,71,35,19,28,28,33,28,286,974,1760,1900,1105,727,485,499,738,121,8303
SOSR515,160,24,489,259,191,145,191,221,27,1707,0,0,10,7,3,6,6,17,3,47,38,56,73,55,37,17,57,32,22,391,85,58,175,124,72,80,124,181,138,1041,2713,5030,5854,3383,2459,1156,2106,2228,473,25407
SOSR521,59,11,144,61,49,35,58,65,15,496,0,0,0,0,0,0,0,6,0,10,17,16,19,15,11,4,22,20,4,123,52,26,74,47,33,31,73,73,61,482,1140,1696,1824,1195,858,400,769,775,192,8852
